School Name,Tier_x,Overall_Score,Tier_y,Overall Score,Student Performance 75 points,"Family, Community, & Culture 10 points",Teacher & Learning 7.5 Points,Leadership & Collaboration 7.5 Points,Drop-Out Rate,ELA Achievement Gap,ELA Growth,ELA Growth - High-Performing Students,ELA Growth - Low-Performing Students,ELA Growth - Subgroups,English Learner Growth,Graduate in 4 Years,Graduate in 5 Years,Math Achievement Gap,Math Growth,Math Growth - High-Performing Students,Math Growth - Low-Performing Students,Math Growth - Subgroups,School Meets ELA MCAS Goals,School Meets ELA MCAS Goals - Subgroups,School Meets Math MCAS Goals,School Meets Math MCAS Goals - Subgroups,School Meets Science MCAS Goals,Students Set Goals and Persist,Students in College after Graduation,College and Career Readiness,Rigorous Curriculum,School has Effective Leadership,Teacher Effectiveness,Leadership Engages the Community,Leadership Supports Teachers,Rate of Returning Teachers,Staff Collaboration and Community,Challenging Academic Environment,Chronic Absenteeism,Family Engagement,Inclusive of Families and Community,Safety,Staff Diversity,Student Engagement and Enthusiasm,Suspensions,Welcomed and Involved Families
Curley K-8 School,1.0,70,1.0,70.0,55.4,6.6,3.8,4.0,,25.0,75.0,100.0,50.0,68.8,50.0,,,50.0,100.0,100.0,50.0,81.3,75.0,41.7,100.0,91.7,100.0,62.5,,,50.0,50.0,50.0,50.0,50.0,62.5,50.0,50.0,100.0,87.5,70.8,50.0,50.0,62.5,50.0,75.0
Boston Latin School,1.0,66,1.0,66.0,50.2,6.8,4.7,4.5,100.0,8.3,83.3,50.0,75.0,81.2,,91.7,95.8,33.4,83.3,50.0,83.3,83.3,16.7,25.0,91.7,58.3,,75.0,100.0,100.0,50.0,50.0,50.0,50.0,50.0,87.5,50.0,50.0,66.7,100.0,66.7,75.0,50.0,62.5,75.0,62.5
Beethoven/Ohrenberger,2.0,55,2.0,55.0,36.9,7.4,4.7,6.3,,,50.0,50.0,50.0,56.3,50.0,,,,75.0,50.0,75.0,68.8,,16.7,50.0,50.0,50.0,62.5,,,62.5,62.5,62.5,87.5,87.5,87.5,75.0,62.5,100.0,100.0,75.0,75.0,50.0,75.0,50.0,75.0
Boston Arts Academy,3.0,53,3.0,53.0,35.9,7.2,4.7,5.6,,,50.0,,75.0,37.5,,50.0,91.7,,50.0,,75.0,50.0,,16.7,50.0,33.3,50.0,37.5,50.0,100.0,50.0,50.0,50.0,62.5,62.5,100.0,75.0,50.0,100.0,87.5,70.8,56.3,100.0,50.0,62.5,75.0
Albert D Holland School of Technology,3.0,52,3.0,52.0,36.2,6.3,5.9,4.0,,,53.1,,,,50.0,65.0,5.0,,90.6,,,,90.6,46.9,43.7,21.9,,62.5,50.0,100.0,75.0,62.5,75.0,50.0,50.0,62.5,50.0,75.0,12.5,100.0,58.3,56.3,75.0,62.5,62.5,62.5
Boston Green Academy,3.0,52,3.0,52.0,37.5,5.6,4.5,4.5,,,75.0,50.0,,88.5,,70.0,50.0,,50.0,,,50.0,32.7,,50.0,82.7,49.1,37.5,,100.0,50.0,37.5,50.0,75.0,62.5,37.5,62.5,50.0,67.3,100.0,54.2,43.8,62.5,37.5,25.0,62.5
Boston Latin Academy,3.0,50,3.0,50.0,38.6,5.2,2.8,3.0,75.0,92.2,67.2,50.0,59.3,58.6,,95.0,100.0,,59.3,25.0,76.5,62.5,,,,12.5,,50.0,100.0,25.0,50.0,25.0,50.0,25.0,25.0,87.5,25.0,50.0,,75.0,62.5,50.0,68.8,50.0,50.0,62.5
Community Academy of Science and Health,3.0,47,3.0,47.0,28.8,6.8,4.7,6.3,75.0,,25.0,,,,100.0,20.0,5.0,,75.0,,,,,,50.0,50.0,,50.0,25.0,50.0,62.5,75.0,62.5,87.5,87.5,87.5,75.0,62.5,100.0,62.5,58.3,62.5,100.0,62.5,37.5,68.8
Charlestown High School,3.0,47,3.0,47.0,30.5,6.2,4.9,5.4,25.0,,50.0,,,50.0,100.0,12.5,41.7,,75.0,,,50.0,,4.5,4.5,8.9,50.0,50.0,25.0,50.0,75.0,62.5,75.0,75.0,75.0,62.5,75.0,75.0,31.7,87.5,54.2,68.8,56.3,75.0,50.0,56.3
Another Course to College,4.0,42,4.0,42.0,27.5,6.6,4.5,3.0,,,50.0,,,,,30.0,60.0,,50.0,,,,,100.0,,,50.0,37.5,,100.0,62.5,25.0,50.0,25.0,25.0,75.0,37.5,62.5,75.0,87.5,58.3,43.8,100.0,37.5,62.5,62.5
Boston Teachers Union K-8 Pilot School,4.0,40,4.0,40.0,26.0,6.3,4.1,3.8,,,50.0,50.0,25.0,58.3,,,,100.0,25.0,50.0,,33.3,,16.7,,33.3,50.0,50.0,,,62.5,37.5,62.5,50.0,50.0,50.0,50.0,62.5,,100.0,62.5,56.3,100.0,62.5,37.5,87.5
Community Academy,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Collaborative High School,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Adult Technical Academy,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brighton High School,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston Day and Evening Academy,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Boston International High School,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James J. Chittick Elementary School,1.0,89,1.0,89.0,69.4,6.5,6.3,6.6,,,75.0,,,,,,,,100.0,,,,100.0,100.0,100.0,100.0,,75.0,,,75.0,100.0,75.0,100.0,100.0,62.5,87.5,75.0,,75.0,70.8,81.3,75.0,75.0,,68.8
James Otis Elementary School,1.0,86,1.0,86.0,64.8,7.9,5.9,7.0,,,100.0,75.0,75.0,100.0,50.0,,,75.0,100.0,100.0,100.0,100.0,75.0,50.0,100.0,50.0,100.0,75.0,,,75.0,87.5,75.0,100.0,100.0,75.0,100.0,75.0,100.0,100.0,79.2,87.5,25.0,75.0,,87.5
John Winthrop Elementary School,1.0,84,1.0,84.0,68.6,5.8,4.4,5.2,,,100.0,,75.0,100.0,50.0,,,,100.0,,100.0,100.0,100.0,75.0,100.0,100.0,100.0,62.5,,,50.0,75.0,50.0,87.5,75.0,37.5,75.0,50.0,100.0,37.5,58.3,50.0,37.5,62.5,,68.8
Higginson (K-2) / Higginson/Lewis K-8,1.0,74,1.0,74.0,53.8,7.9,5.9,6.6,,,75.0,,75.0,58.3,50.0,,,,50.0,,75.0,66.7,100.0,87.5,100.0,100.0,50.0,75.0,,,75.0,87.5,75.0,100.0,100.0,75.0,75.0,75.0,100.0,81.3,79.2,62.5,81.3,75.0,75.0,81.3
Joseph P. Tynan Elementary School,1.0,73,1.0,73.0,52.1,7.8,6.3,6.8,,,50.0,,,,,,,75.0,75.0,,,,100.0,,50.0,,,75.0,,,75.0,100.0,75.0,100.0,100.0,87.5,75.0,75.0,100.0,75.0,83.3,75.0,62.5,75.0,,75.0
Hugh R. O'Donnell Elementary School,1.0,73,1.0,73.0,56.3,7.9,5.0,3.8,,,75.0,,,75.0,75.0,,,,100.0,,,100.0,25.0,50.0,100.0,100.0,,75.0,,,75.0,50.0,75.0,37.5,37.5,62.5,62.5,75.0,100.0,87.5,79.2,81.3,50.0,75.0,,81.3
Josiah Quincy Elementary School,1.0,69,1.0,69.0,51.0,6.5,4.4,6.8,,,75.0,50.0,75.0,75.0,100.0,,,100.0,75.0,75.0,100.0,75.0,50.0,62.5,50.0,62.5,,75.0,,,50.0,75.0,50.0,100.0,87.5,87.5,87.5,50.0,,87.5,87.5,81.3,50.0,75.0,,87.5
John Eliot K-8 School,1.0,69,1.0,69.0,47.8,7.9,6.3,6.8,,,75.0,75.0,50.0,62.5,75.0,,,,100.0,75.0,75.0,81.3,50.0,37.5,100.0,68.8,,75.0,,,75.0,100.0,75.0,100.0,100.0,62.5,100.0,75.0,75.0,100.0,79.2,100.0,62.5,75.0,62.5,81.3
John F. Kennedy Elementary School,1.0,69,1.0,69.0,51.3,8.1,5.0,4.7,,,75.0,75.0,50.0,75.0,50.0,,,75.0,75.0,100.0,50.0,75.0,50.0,33.3,100.0,33.3,75.0,75.0,,,75.0,50.0,75.0,50.0,62.5,62.5,75.0,75.0,100.0,100.0,79.2,75.0,62.5,75.0,,81.3
Joseph J. Hurley K-8 School,1.0,67,1.0,67.0,48.0,7.4,5.3,6.6,,25.0,100.0,75.0,50.0,87.5,50.0,,,100.0,75.0,75.0,75.0,75.0,,,50.0,37.5,50.0,62.5,,,75.0,62.5,75.0,100.0,87.5,87.5,75.0,75.0,100.0,75.0,75.0,68.8,50.0,75.0,75.0,75.0
John D. O'Bryant School of Mathematics and Science,2.0,64,2.0,64.0,49.7,7.0,3.3,3.5,75.0,20.8,55.2,50.0,75.0,53.9,,92.9,96.4,64.6,80.2,100.0,100.0,75.3,,5.2,59.4,48.4,39.6,75.0,100.0,25.0,50.0,50.0,50.0,37.5,37.5,62.5,50.0,50.0,39.6,87.5,66.7,75.0,100.0,62.5,75.0,75.0
James W. Hennigan Elementary School,2.0,59,2.0,59.0,43.0,7.0,4.4,4.7,,,75.0,50.0,75.0,58.3,50.0,,,,50.0,,75.0,50.0,50.0,37.5,75.0,75.0,,50.0,,,50.0,62.5,62.5,62.5,62.5,62.5,62.5,50.0,100.0,100.0,75.0,56.3,56.3,62.5,50.0,81.3
Joseph P. Manning Elementary School,2.0,56,2.0,56.0,42.0,6.3,4.1,3.3,,,75.0,75.0,,75.0,,,,,75.0,75.0,,75.0,,75.0,50.0,,,75.0,,,75.0,25.0,62.5,25.0,25.0,75.0,50.0,75.0,25.0,100.0,75.0,75.0,6.3,62.5,,81.3
Joseph Lee K-8 School,2.0,55,2.0,55.0,41.8,6.1,4.1,3.0,,,50.0,,25.0,41.7,100.0,,,,50.0,,50.0,50.0,75.0,75.0,100.0,75.0,50.0,50.0,,,50.0,62.5,50.0,37.5,37.5,50.0,37.5,50.0,100.0,87.5,62.5,50.0,56.3,50.0,25.0,68.8
Joyce Kilmer K-8 School,3.0,52,3.0,52.0,35.3,5.9,5.0,6.1,,,50.0,50.0,50.0,50.0,,,,,75.0,75.0,75.0,58.3,,,50.0,50.0,,62.5,,,75.0,62.5,62.5,87.5,75.0,75.0,87.5,75.0,50.0,75.0,66.7,75.0,12.5,50.0,50.0,75.0
Harvard-Kent Elementary School,3.0,51,3.0,51.0,34.0,7.8,4.7,4.7,,100.0,25.0,25.0,50.0,12.5,100.0,,,50.0,50.0,50.0,50.0,25.0,,,75.0,58.3,100.0,75.0,,,75.0,37.5,75.0,50.0,50.0,87.5,62.5,75.0,100.0,100.0,79.2,62.5,50.0,75.0,,81.3
James F. Condon K-8 School,3.0,49,3.0,49.0,35.5,7.3,4.1,2.3,,,50.0,50.0,50.0,41.7,50.0,,,,50.0,25.0,75.0,58.3,,16.7,50.0,83.3,25.0,62.5,,,75.0,25.0,62.5,25.0,25.0,50.0,25.0,75.0,100.0,87.5,66.7,43.8,93.8,75.0,50.0,68.8
Josiah Quincy Upper School,3.0,48,3.0,48.0,34.5,5.7,2.8,5.4,75.0,,50.0,50.0,50.0,45.6,75.0,95.0,87.5,,73.5,50.0,50.0,73.5,,8.8,,8.8,23.5,50.0,25.0,25.0,50.0,25.0,50.0,62.5,62.5,100.0,62.5,50.0,23.5,100.0,58.3,56.3,62.5,50.0,50.0,62.5
Henry Grew Elementary School,4.0,40,4.0,40.0,21.9,8.0,4.7,5.4,,,50.0,,,50.0,25.0,,,,50.0,,,25.0,,,,,,62.5,,,62.5,62.5,62.5,75.0,75.0,62.5,75.0,62.5,100.0,87.5,75.0,68.8,93.8,62.5,,87.5
Horace Mann School for the Deaf & Hard of Hearing,,-,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
