Outcome,Metric,School Name,Score
Vision,Leadership Engages the Community,Boston Day and Evening Academy,-
Vision,Leadership Engages the Community,Boston Collaborative High School,-
Vision,Leadership Engages the Community,Boston International High School,-
Vision,Leadership Engages the Community,Boston Adult Technical Academy,-
Vision,Leadership Engages the Community,Brighton High School,-
Vision,Leadership Engages the Community,Community Academy,-
Vision,Leadership Engages the Community,Another Course to College,25
Vision,Leadership Engages the Community,Boston Latin Academy,25
Vision,Leadership Engages the Community,Boston Teachers Union K-8 Pilot School,50
Vision,Leadership Engages the Community,Albert D Holland School of Technology,50
Vision,Leadership Engages the Community,Curley K-8 School,50
Vision,Leadership Engages the Community,Boston Latin School,50
Vision,Leadership Engages the Community,Dante Alighieri Elementary Montessori School,100
Vision,Leadership Engages the Community,Boston Arts Academy,62.5
Vision,Leadership Engages the Community,Boston Green Academy,75
Vision,Leadership Engages the Community,Charlestown High School,75
Vision,Leadership Engages the Community,Community Academy of Science and Health,87.5
Vision,Leadership Engages the Community,Beethoven/Ohrenberger,87.5
Vision,Leadership Engages the Community,Curtis Guild Elementary School,87.5
Collaborative Culture,Staff Collaboration and Community,Community Academy,-
Collaborative Culture,Staff Collaboration and Community,Boston Adult Technical Academy,-
Collaborative Culture,Staff Collaboration and Community,Boston International High School,-
Collaborative Culture,Staff Collaboration and Community,Brighton High School,-
Collaborative Culture,Staff Collaboration and Community,Boston Day and Evening Academy,-
Collaborative Culture,Staff Collaboration and Community,Boston Collaborative High School,-
Collaborative Culture,Staff Collaboration and Community,Boston Latin Academy,25
Collaborative Culture,Staff Collaboration and Community,Albert D Holland School of Technology,50
Collaborative Culture,Staff Collaboration and Community,Boston Latin School,50
Collaborative Culture,Staff Collaboration and Community,Curley K-8 School,50
Collaborative Culture,Staff Collaboration and Community,Boston Teachers Union K-8 Pilot School,50
Collaborative Culture,Staff Collaboration and Community,Boston Green Academy,62.5
Collaborative Culture,Staff Collaboration and Community,Another Course to College,37.5
Collaborative Culture,Staff Collaboration and Community,Beethoven/Ohrenberger,75
Collaborative Culture,Staff Collaboration and Community,Charlestown High School,75
Collaborative Culture,Staff Collaboration and Community,Community Academy of Science and Health,75
Collaborative Culture,Staff Collaboration and Community,Boston Arts Academy,75
Collaborative Culture,Staff Collaboration and Community,Curtis Guild Elementary School,87.5
Collaborative Culture,Staff Collaboration and Community,Dante Alighieri Elementary Montessori School,87.5
Leveraging Effective Teachers,Leadership Supports Teachers,Boston Adult Technical Academy,-
Leveraging Effective Teachers,Leadership Supports Teachers,Community Academy,-
Leveraging Effective Teachers,Leadership Supports Teachers,Boston Day and Evening Academy,-
Leveraging Effective Teachers,Leadership Supports Teachers,Brighton High School,-
Leveraging Effective Teachers,Leadership Supports Teachers,Boston International High School,-
Leveraging Effective Teachers,Leadership Supports Teachers,Boston Collaborative High School,-
Leveraging Effective Teachers,Leadership Supports Teachers,Boston Latin Academy,25
Leveraging Effective Teachers,Leadership Supports Teachers,Another Course to College,25
Leveraging Effective Teachers,Leadership Supports Teachers,Albert D Holland School of Technology,50
Leveraging Effective Teachers,Leadership Supports Teachers,Boston Latin School,50
Leveraging Effective Teachers,Leadership Supports Teachers,Boston Teachers Union K-8 Pilot School,50
Leveraging Effective Teachers,Leadership Supports Teachers,Curley K-8 School,50
Leveraging Effective Teachers,Leadership Supports Teachers,Dante Alighieri Elementary Montessori School,100
Leveraging Effective Teachers,Leadership Supports Teachers,Boston Green Academy,62.5
Leveraging Effective Teachers,Leadership Supports Teachers,Boston Arts Academy,62.5
Leveraging Effective Teachers,Leadership Supports Teachers,Charlestown High School,75
Leveraging Effective Teachers,Leadership Supports Teachers,Curtis Guild Elementary School,87.5
Leveraging Effective Teachers,Leadership Supports Teachers,Community Academy of Science and Health,87.5
Leveraging Effective Teachers,Leadership Supports Teachers,Beethoven/Ohrenberger,87.5
Leveraging Effective Teachers,Rate of Returning Teachers,Boston Day and Evening Academy,-
Leveraging Effective Teachers,Rate of Returning Teachers,Brighton High School,-
Leveraging Effective Teachers,Rate of Returning Teachers,Boston Adult Technical Academy,-
Leveraging Effective Teachers,Rate of Returning Teachers,Boston International High School,-
Leveraging Effective Teachers,Rate of Returning Teachers,Boston Collaborative High School,-
Leveraging Effective Teachers,Rate of Returning Teachers,Community Academy,-
Leveraging Effective Teachers,Rate of Returning Teachers,Dante Alighieri Elementary Montessori School,50
Leveraging Effective Teachers,Rate of Returning Teachers,Boston Teachers Union K-8 Pilot School,50
Leveraging Effective Teachers,Rate of Returning Teachers,Boston Arts Academy,100
Leveraging Effective Teachers,Rate of Returning Teachers,Albert D Holland School of Technology,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,Curley K-8 School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,Charlestown High School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,Boston Green Academy,37.5
Leveraging Effective Teachers,Rate of Returning Teachers,Another Course to College,75
Leveraging Effective Teachers,Rate of Returning Teachers,Curtis Guild Elementary School,75
Leveraging Effective Teachers,Rate of Returning Teachers,Boston Latin Academy,87.5
Leveraging Effective Teachers,Rate of Returning Teachers,Beethoven/Ohrenberger,87.5
Leveraging Effective Teachers,Rate of Returning Teachers,Community Academy of Science and Health,87.5
Leveraging Effective Teachers,Rate of Returning Teachers,Boston Latin School,87.5
