School Name,Tier,Overall Score,Student Performance 75 points,"Family, Community, & Culture 10 points",Teacher & Learning 7.5 Points,Leadership & Collaboration 7.5 Points
Donald McKay K-8 School,1,70,53.8,7.1,4.1,4.9
Fenway High School,1,69,52.1,8.1,4.7,4.5
David A. Ellis Elementary School,1,67,48.1,7.8,5.3,5.4
F. Lyman Winship Elementary School,2,63,42.4,8.2,5.6,7
George H. Conley Elementary School,2,60,40.4,7.2,6.6,6.1
Dennis C. Haley Elementary School,2,59,42,6.2,5,5.9
East Boston High School,2,59,40.5,6.3,4.7,7
Edward M. Kennedy Academy for Health Careers,2,58,39.9,7.5,4.7,5.9
Franklin D. Roosevelt Elementary School,2,55,40.5,6.9,3.8,4
Gardner Pilot Academy,3,55,38.8,6.4,4.4,4.9
"Dearborn Science, Technology, Engineering and Mathematics Academy",3,50,32.2,5.9,5.2,6.6
Ellis Mendell Elementary School,3,46,29.6,6.4,5,4.9
Dudley Street Neighborhood Charter School,4,45,27.5,8,5,4.2
Edward Everett Elementary School,4,44,24.4,7.9,5.6,6.1
Dr. William W. Henderson K-12 Inclusion School,4,44,29.9,5.6,4.7,3.8
Excel High School,4,29,17.1,4.2,3.3,4
Dr. Catherine Ellison - Rosa Parks Early Education School,n/a,null,null,null,null,null
Greater Egleston Community High School,n/a,null,null,null,null,null
East Boston Early Education Center,n/a,null,null,null,null,null
Harriet A. Baldwin Early Learning Pilot Academy,n/a,null,null,null,null,null
