School Name,Tier,Overall Score,Student Performance 75 points,"Family, Community, & Culture 10 points",Teacher & Learning 7.5 Points,Leadership & Collaboration 7.5 Points
James J. Chittick Elementary School,1,89,69.4,6.5,6.3,6.6
James Otis Elementary School,1,86,64.8,7.9,5.9,7
John Winthrop Elementary School,1,84,68.6,5.8,4.4,5.2
Higginson (K-2) / Higginson/Lewis K-8,1,74,53.8,7.9,5.9,6.6
Joseph P. Tynan Elementary School,1,73,52.1,7.8,6.3,6.8
Hugh R. O'Donnell Elementary School,1,73,56.3,7.9,5,3.8
Josiah Quincy Elementary School,1,69,51,6.5,4.4,6.8
John Eliot K-8 School,1,69,47.8,7.9,6.3,6.8
John F. Kennedy Elementary School,1,69,51.3,8.1,5,4.7
Joseph J. Hurley K-8 School,1,67,48,7.4,5.3,6.6
John D. O'Bryant School of Mathematics and Science,2,64,49.7,7,3.3,3.5
James W. Hennigan Elementary School,2,59,43,7,4.4,4.7
Joseph P. Manning Elementary School,2,56,42,6.3,4.1,3.3
Joseph Lee K-8 School,2,55,41.8,6.1,4.1,3
Joyce Kilmer K-8 School,3,52,35.3,5.9,5,6.1
Harvard-Kent Elementary School,3,51,34,7.8,4.7,4.7
James F. Condon K-8 School,3,49,35.5,7.3,4.1,2.3
Josiah Quincy Upper School,3,48,34.5,5.7,2.8,5.4
Henry Grew Elementary School,4,40,21.9,8,4.7,5.4
Horace Mann School for the Deaf & Hard of Hearing,n/a,null,null,null,null,null
