Outcome,Metric,School_Name,Score
College and Career,Graduate in 4 Years,Boston Latin Academy,95
College and Career,Graduate in 4 Years,Community Academy of Science and Health,20
College and Career,Graduate in 4 Years,Albert D Holland School of Technology,65
College and Career,Graduate in 4 Years,Boston Green Academy,70
College and Career,Graduate in 4 Years,Boston Latin School,91.7
College and Career,Graduate in 4 Years,Charlestown High School,12.5
College and Career,Graduate in 4 Years,Another Course to College,30
College and Career,Graduate in 4 Years,Boston Adult Technical Academy,-
College and Career,Graduate in 4 Years,Brighton High School,-
College and Career,Graduate in 4 Years,Boston Arts Academy,50
College and Career,Graduate in 5 Years,Community Academy of Science and Health,5
College and Career,Graduate in 5 Years,Charlestown High School,41.7
College and Career,Graduate in 5 Years,Boston Arts Academy,91.7
College and Career,Graduate in 5 Years,Albert D Holland School of Technology,5
College and Career,Graduate in 5 Years,Boston Latin School,95.8
College and Career,Graduate in 5 Years,Another Course to College,60
College and Career,Graduate in 5 Years,Community Academy,-
College and Career,Graduate in 5 Years,Boston Collaborative High School,-
College and Career,Graduate in 5 Years,Boston Day and Evening Academy,-
College and Career,Graduate in 5 Years,Boston Adult Technical Academy,-
College and Career,Graduate in 5 Years,Brighton High School,-
College and Career,Graduate in 5 Years,Boston International High School,-
College and Career,Graduate in 5 Years,Boston Green Academy,50
College and Career,Graduate in 5 Years,Boston Latin Academy,100
Grade Level Mastery,ELA Achievement Gap,Boston Latin Academy,92.2
Grade Level Mastery,ELA Achievement Gap,Boston Latin School,8.3
Grade Level Mastery,ELA Achievement Gap,Another Course to College,-
Grade Level Mastery,ELA Achievement Gap,Boston International High School,-
Grade Level Mastery,ELA Achievement Gap,Boston Adult Technical Academy,-
Grade Level Mastery,ELA Achievement Gap,Community Academy of Science and Health,-
Grade Level Mastery,ELA Achievement Gap,Curtis Guild Elementary School,-
Grade Level Mastery,ELA Achievement Gap,Boston Day and Evening Academy,-
Grade Level Mastery,ELA Achievement Gap,Albert D Holland School of Technology,-
Grade Level Mastery,ELA Achievement Gap,Brighton High School,-
Grade Level Mastery,ELA Achievement Gap,Boston Arts Academy,-
