Outcome,Metric,School Name,Score
Vision,Leadership Engages the Community,UP Academy Charter School of Dorchester,12.5
Vision,Leadership Engages the Community,William E. Carter School,-
Vision,Leadership Engages the Community,Young Achievers School of Science & Math,25
Vision,Leadership Engages the Community,Thomas J. Kenny Elementary School,50
Vision,Leadership Engages the Community,UP Academy Holland,50
Vision,Leadership Engages the Community,Warren-Prescott K-8 School,100
Vision,Leadership Engages the Community,William Ellery Channing Elementary School,62.5
Vision,Leadership Engages the Community,William E. Russell Elementary School,37.5
Vision,Leadership Engages the Community,William Blackstone Elementary School,37.5
Vision,Leadership Engages the Community,William Monroe Trotter Elementary School,75
Vision,Leadership Engages the Community,Wolfgang Amadeus Mozart Elementary School,87.5
Collaborative Culture,Staff Collaboration and Community,UP Academy Charter School of Dorchester,12.5
Collaborative Culture,Staff Collaboration and Community,William E. Carter School,-
Collaborative Culture,Staff Collaboration and Community,UP Academy Holland,25
Collaborative Culture,Staff Collaboration and Community,William Ellery Channing Elementary School,50
Collaborative Culture,Staff Collaboration and Community,Thomas J. Kenny Elementary School,50
Collaborative Culture,Staff Collaboration and Community,Warren-Prescott K-8 School,100
Collaborative Culture,Staff Collaboration and Community,William E. Russell Elementary School,62.5
Collaborative Culture,Staff Collaboration and Community,Young Achievers School of Science & Math,37.5
Collaborative Culture,Staff Collaboration and Community,William Blackstone Elementary School,37.5
Collaborative Culture,Staff Collaboration and Community,Wolfgang Amadeus Mozart Elementary School,75
Collaborative Culture,Staff Collaboration and Community,William Monroe Trotter Elementary School,87.5
Leveraging Effective Teachers,Leadership Supports Teachers,UP Academy Charter School of Dorchester,12.5
Leveraging Effective Teachers,Leadership Supports Teachers,William E. Carter School,-
Leveraging Effective Teachers,Leadership Supports Teachers,Thomas J. Kenny Elementary School,50
Leveraging Effective Teachers,Leadership Supports Teachers,Young Achievers School of Science & Math,50
Leveraging Effective Teachers,Leadership Supports Teachers,Warren-Prescott K-8 School,100
Leveraging Effective Teachers,Leadership Supports Teachers,Wolfgang Amadeus Mozart Elementary School,62.5
Leveraging Effective Teachers,Leadership Supports Teachers,William E. Russell Elementary School,37.5
Leveraging Effective Teachers,Leadership Supports Teachers,UP Academy Holland,37.5
Leveraging Effective Teachers,Leadership Supports Teachers,William Blackstone Elementary School,37.5
Leveraging Effective Teachers,Leadership Supports Teachers,William Ellery Channing Elementary School,75
Leveraging Effective Teachers,Leadership Supports Teachers,William Monroe Trotter Elementary School,87.5
Leveraging Effective Teachers,Rate of Returning Teachers,William E. Carter School,-
Leveraging Effective Teachers,Rate of Returning Teachers,Young Achievers School of Science & Math,25
Leveraging Effective Teachers,Rate of Returning Teachers,UP Academy Charter School of Dorchester,50
Leveraging Effective Teachers,Rate of Returning Teachers,William Ellery Channing Elementary School,50
Leveraging Effective Teachers,Rate of Returning Teachers,UP Academy Holland,50
Leveraging Effective Teachers,Rate of Returning Teachers,William E. Russell Elementary School,50
Leveraging Effective Teachers,Rate of Returning Teachers,Warren-Prescott K-8 School,100
Leveraging Effective Teachers,Rate of Returning Teachers,William Blackstone Elementary School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,Wolfgang Amadeus Mozart Elementary School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,William Monroe Trotter Elementary School,37.5
Leveraging Effective Teachers,Rate of Returning Teachers,Thomas J. Kenny Elementary School,75
