School Name,Tier,Overall Score,Student Performance 75 points,"Family, Community, & Culture 10 points",Teacher & Learning 7.5 Points,Leadership & Collaboration 7.5 Points
Dante Alighieri Elementary Montessori School,1,94,73.1,8.5,5.9,6.3
Curtis Guild Elementary School,1,89,68.6,8,5.6,6.3
Curley K-8 School,1,70,55.4,6.6,3.8,4
Boston Latin School,1,66,50.2,6.8,4.7,4.5
Beethoven/Ohrenberger,2,55,36.9,7.4,4.7,6.3
Boston Arts Academy,3,53,35.9,7.2,4.7,5.6
Albert D Holland School of Technology,3,52,36.2,6.3,5.9,4
Boston Green Academy,3,52,37.5,5.6,4.5,4.5
Boston Latin Academy,3,50,38.6,5.2,2.8,3
Community Academy of Science and Health,3,47,28.8,6.8,4.7,6.3
Charlestown High School,3,47,30.5,6.2,4.9,5.4
Another Course to College,4,42,27.5,6.6,4.5,3
Boston Teachers Union K-8 Pilot School,4,40,26,6.3,4.1,3.8
Community Academy,n/a,null,null,null,null,null
Boston Collaborative High School,n/a,null,null,null,null,null
Boston Adult Technical Academy,n/a,null,null,null,null,null
Brighton High School,n/a,null,null,null,null,null
Boston Day and Evening Academy,n/a,null,null,null,null,null
Boston International High School,n/a,null,null,null,null,null
