Outcome,Metric,School Name,Score
Vision,Leadership Engages the Community,Rev. Dr. Michael E. Haynes Early Education Center,-
Vision,Leadership Engages the Community,Richard J. Murphy K-8 School,50
Vision,Leadership Engages the Community,Thomas A. Edison Elementary School,50
Vision,Leadership Engages the Community,Ruth Batson Academy,50
Vision,Leadership Engages the Community,Shaw-Taylor Elementary School,50
Vision,Leadership Engages the Community,Rafael Hernandez Elementary School,50
Vision,Leadership Engages the Community,The English High School,100
Vision,Leadership Engages the Community,Oliver Hazard Perry Elementary School,100
Vision,Leadership Engages the Community,Sarah Greenwood K-8 School,100
Vision,Leadership Engages the Community,Patrick J. Kennedy Elementary School,100
Vision,Leadership Engages the Community,Roger Clap Innovation School,100
Vision,Leadership Engages the Community,Oliver W. Holmes Elementary School,62.5
Vision,Leadership Engages the Community,Samuel Adams Elementary School,62.5
Vision,Leadership Engages the Community,Philbrick-Sumner Elementary School,62.5
Vision,Leadership Engages the Community,Phineas Bates Elementary School,62.5
Vision,Leadership Engages the Community,Orchard Gardens K-8 School,37.5
Vision,Leadership Engages the Community,Patrick F. Lyndon K-8 Pilot School,37.5
Vision,Leadership Engages the Community,Paul A. Dever Elementary School,37.5
Vision,Leadership Engages the Community,Samuel W. Mason Elementary School,75
Vision,Leadership Engages the Community,TechBoston Academy,87.5
Collaborative Culture,Staff Collaboration and Community,Rev. Dr. Michael E. Haynes Early Education Center,-
Collaborative Culture,Staff Collaboration and Community,Paul A. Dever Elementary School,50
Collaborative Culture,Staff Collaboration and Community,Richard J. Murphy K-8 School,50
Collaborative Culture,Staff Collaboration and Community,Ruth Batson Academy,50
Collaborative Culture,Staff Collaboration and Community,Orchard Gardens K-8 School,50
Collaborative Culture,Staff Collaboration and Community,Rafael Hernandez Elementary School,50
Collaborative Culture,Staff Collaboration and Community,Patrick F. Lyndon K-8 Pilot School,50
Collaborative Culture,Staff Collaboration and Community,Oliver Hazard Perry Elementary School,100
Collaborative Culture,Staff Collaboration and Community,Thomas A. Edison Elementary School,62.5
Collaborative Culture,Staff Collaboration and Community,TechBoston Academy,62.5
Collaborative Culture,Staff Collaboration and Community,Shaw-Taylor Elementary School,62.5
Collaborative Culture,Staff Collaboration and Community,Samuel W. Mason Elementary School,62.5
Collaborative Culture,Staff Collaboration and Community,Roger Clap Innovation School,62.5
Collaborative Culture,Staff Collaboration and Community,Samuel Adams Elementary School,75
Collaborative Culture,Staff Collaboration and Community,Oliver W. Holmes Elementary School,75
Collaborative Culture,Staff Collaboration and Community,Patrick J. Kennedy Elementary School,75
Collaborative Culture,Staff Collaboration and Community,The English High School,75
Collaborative Culture,Staff Collaboration and Community,Philbrick-Sumner Elementary School,75
Collaborative Culture,Staff Collaboration and Community,Sarah Greenwood K-8 School,75
Collaborative Culture,Staff Collaboration and Community,Phineas Bates Elementary School,87.5
Leveraging Effective Teachers,Leadership Supports Teachers,Rev. Dr. Michael E. Haynes Early Education Center,-
Leveraging Effective Teachers,Leadership Supports Teachers,Ruth Batson Academy,50
Leveraging Effective Teachers,Leadership Supports Teachers,Richard J. Murphy K-8 School,50
Leveraging Effective Teachers,Leadership Supports Teachers,Orchard Gardens K-8 School,50
