Outcome,Metric,School Name,Score
Quality Teachers,Teacher Effectiveness,Horace Mann School for the Deaf & Hard of Hearing,-
Quality Teachers,Teacher Effectiveness,John Winthrop Elementary School,50
Quality Teachers,Teacher Effectiveness,Josiah Quincy Upper School,50
Quality Teachers,Teacher Effectiveness,Joseph Lee K-8 School,50
Quality Teachers,Teacher Effectiveness,Josiah Quincy Elementary School,50
Quality Teachers,Teacher Effectiveness,John D. O'Bryant School of Mathematics and Science,50
Quality Teachers,Teacher Effectiveness,Henry Grew Elementary School,62.5
Quality Teachers,Teacher Effectiveness,Joyce Kilmer K-8 School,62.5
Quality Teachers,Teacher Effectiveness,James W. Hennigan Elementary School,62.5
Quality Teachers,Teacher Effectiveness,Joseph P. Manning Elementary School,62.5
Quality Teachers,Teacher Effectiveness,James F. Condon K-8 School,62.5
Quality Teachers,Teacher Effectiveness,John F. Kennedy Elementary School,75
Quality Teachers,Teacher Effectiveness,Joseph J. Hurley K-8 School,75
Quality Teachers,Teacher Effectiveness,James Otis Elementary School,75
Quality Teachers,Teacher Effectiveness,John Eliot K-8 School,75
Quality Teachers,Teacher Effectiveness,Harvard-Kent Elementary School,75
Quality Teachers,Teacher Effectiveness,James J. Chittick Elementary School,75
Quality Teachers,Teacher Effectiveness,Hugh R. O'Donnell Elementary School,75
Quality Teachers,Teacher Effectiveness,Joseph P. Tynan Elementary School,75
Quality Teachers,Teacher Effectiveness,Higginson (K-2) / Higginson/Lewis K-8,75
Effective Leadership,School has Effective Leadership,Horace Mann School for the Deaf & Hard of Hearing,-
Effective Leadership,School has Effective Leadership,Josiah Quincy Upper School,25
Effective Leadership,School has Effective Leadership,James F. Condon K-8 School,25
Effective Leadership,School has Effective Leadership,Joseph P. Manning Elementary School,25
Effective Leadership,School has Effective Leadership,John D. O'Bryant School of Mathematics and Science,50
Effective Leadership,School has Effective Leadership,Hugh R. O'Donnell Elementary School,50
Effective Leadership,School has Effective Leadership,John F. Kennedy Elementary School,50
Effective Leadership,School has Effective Leadership,Joseph P. Tynan Elementary School,100
Effective Leadership,School has Effective Leadership,John Eliot K-8 School,100
Effective Leadership,School has Effective Leadership,James J. Chittick Elementary School,100
Effective Leadership,School has Effective Leadership,Joseph Lee K-8 School,62.5
Effective Leadership,School has Effective Leadership,Joyce Kilmer K-8 School,62.5
Effective Leadership,School has Effective Leadership,James W. Hennigan Elementary School,62.5
Effective Leadership,School has Effective Leadership,Joseph J. Hurley K-8 School,62.5
Effective Leadership,School has Effective Leadership,Henry Grew Elementary School,62.5
Effective Leadership,School has Effective Leadership,Harvard-Kent Elementary School,37.5
Effective Leadership,School has Effective Leadership,John Winthrop Elementary School,75
Effective Leadership,School has Effective Leadership,Josiah Quincy Elementary School,75
Effective Leadership,School has Effective Leadership,James Otis Elementary School,87.5
Effective Leadership,School has Effective Leadership,Higginson (K-2) / Higginson/Lewis K-8,87.5
Valuable Curriculum,Rigorous Curriculum,Horace Mann School for the Deaf & Hard of Hearing,-
Valuable Curriculum,Rigorous Curriculum,James W. Hennigan Elementary School,50
Valuable Curriculum,Rigorous Curriculum,John D. O'Bryant School of Mathematics and Science,50
Valuable Curriculum,Rigorous Curriculum,Josiah Quincy Upper School,50
Valuable Curriculum,Rigorous Curriculum,John Winthrop Elementary School,50
Valuable Curriculum,Rigorous Curriculum,Josiah Quincy Elementary School,50
Valuable Curriculum,Rigorous Curriculum,Joseph Lee K-8 School,50
Valuable Curriculum,Rigorous Curriculum,Henry Grew Elementary School,62.5
Valuable Curriculum,Rigorous Curriculum,Joseph P. Manning Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Harvard-Kent Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Higginson (K-2) / Higginson/Lewis K-8,75
Valuable Curriculum,Rigorous Curriculum,James J. Chittick Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Joseph J. Hurley K-8 School,75
Valuable Curriculum,Rigorous Curriculum,Joseph P. Tynan Elementary School,75
Valuable Curriculum,Rigorous Curriculum,James Otis Elementary School,75
Valuable Curriculum,Rigorous Curriculum,John F. Kennedy Elementary School,75
Valuable Curriculum,Rigorous Curriculum,James F. Condon K-8 School,75
Valuable Curriculum,Rigorous Curriculum,Joyce Kilmer K-8 School,75
Valuable Curriculum,Rigorous Curriculum,John Eliot K-8 School,75
Valuable Curriculum,Rigorous Curriculum,Hugh R. O'Donnell Elementary School,75
Valuable Curriculum,College and Career Readiness,Josiah Quincy Upper School,25
Valuable Curriculum,College and Career Readiness,John D. O'Bryant School of Mathematics and Science,25
