Outcome,Metric,School_Name,Score
College and Career,Graduate in 5 Years,William E. Carter School,-
Grade Level Mastery,ELA Achievement Gap,Warren-Prescott K-8 School,-
Grade Level Mastery,ELA Achievement Gap,UP Academy Holland,-
Grade Level Mastery,ELA Achievement Gap,Young Achievers School of Science & Math,-
Grade Level Mastery,ELA Achievement Gap,William E. Russell Elementary School,-
Grade Level Mastery,ELA Achievement Gap,William Monroe Trotter Elementary School,-
Grade Level Mastery,ELA Achievement Gap,William E. Carter School,-
Grade Level Mastery,ELA Achievement Gap,William Blackstone Elementary School,-
Grade Level Mastery,ELA Achievement Gap,William Ellery Channing Elementary School,-
Grade Level Mastery,ELA Achievement Gap,UP Academy Charter School of Dorchester,-
Grade Level Mastery,ELA Achievement Gap,Thomas J. Kenny Elementary School,100
Grade Level Mastery,ELA Achievement Gap,Wolfgang Amadeus Mozart Elementary School,100
Grade Level Mastery,Math Achievement Gap,UP Academy Holland,-
Grade Level Mastery,Math Achievement Gap,Thomas J. Kenny Elementary School,-
Grade Level Mastery,Math Achievement Gap,William Monroe Trotter Elementary School,-
Grade Level Mastery,Math Achievement Gap,William E. Russell Elementary School,-
Grade Level Mastery,Math Achievement Gap,William Blackstone Elementary School,-
Grade Level Mastery,Math Achievement Gap,Wolfgang Amadeus Mozart Elementary School,-
Grade Level Mastery,Math Achievement Gap,Young Achievers School of Science & Math,-
Grade Level Mastery,Math Achievement Gap,Warren-Prescott K-8 School,-
Grade Level Mastery,Math Achievement Gap,William E. Carter School,-
Grade Level Mastery,Math Achievement Gap,William Ellery Channing Elementary School,-
Grade Level Mastery,Math Achievement Gap,UP Academy Charter School of Dorchester,-
College and Career,Students Set Goals and Persist,William E. Carter School,-
College and Career,Students Set Goals and Persist,Young Achievers School of Science & Math,25
College and Career,Students Set Goals and Persist,UP Academy Charter School of Dorchester,50
College and Career,Students Set Goals and Persist,William Ellery Channing Elementary School,62.5
College and Career,Students Set Goals and Persist,UP Academy Holland,62.5
College and Career,Students Set Goals and Persist,William E. Russell Elementary School,75
College and Career,Students Set Goals and Persist,William Monroe Trotter Elementary School,75
College and Career,Students Set Goals and Persist,William Blackstone Elementary School,75
College and Career,Students Set Goals and Persist,Thomas J. Kenny Elementary School,75
