Outcome,Metric,School Name,Score
Sense of Inclusion,Staff Diversity,James F. Condon K-8 School,93.8
Sense of Inclusion,Staff Diversity,Joseph P. Manning Elementary School,6.3
Sense of Inclusion,Staff Diversity,Henry Grew Elementary School,93.8
Sense of Inclusion,Staff Diversity,Joyce Kilmer K-8 School,12.5
Sense of Inclusion,Staff Diversity,Horace Mann School for the Deaf & Hard of Hearing,-
Sense of Inclusion,Staff Diversity,James Otis Elementary School,25
Sense of Inclusion,Staff Diversity,Joseph J. Hurley K-8 School,50
Sense of Inclusion,Staff Diversity,Harvard-Kent Elementary School,50
Sense of Inclusion,Staff Diversity,Josiah Quincy Elementary School,50
Sense of Inclusion,Staff Diversity,Hugh R. O'Donnell Elementary School,50
Sense of Inclusion,Staff Diversity,John D. O'Bryant School of Mathematics and Science,100
Sense of Inclusion,Staff Diversity,Joseph P. Tynan Elementary School,62.5
Sense of Inclusion,Staff Diversity,John Eliot K-8 School,62.5
Sense of Inclusion,Staff Diversity,Josiah Quincy Upper School,62.5
Sense of Inclusion,Staff Diversity,John F. Kennedy Elementary School,62.5
Sense of Inclusion,Staff Diversity,John Winthrop Elementary School,37.5
Sense of Inclusion,Staff Diversity,James J. Chittick Elementary School,75
Sense of Inclusion,Staff Diversity,Higginson (K-2) / Higginson/Lewis K-8,81.3
Sense of Inclusion,Staff Diversity,James W. Hennigan Elementary School,56.3
Sense of Inclusion,Staff Diversity,Joseph Lee K-8 School,56.3
Engaged Students,Chronic Absenteeism,Josiah Quincy Upper School,23.5
Engaged Students,Chronic Absenteeism,John D. O'Bryant School of Mathematics and Science,39.6
Engaged Students,Chronic Absenteeism,Josiah Quincy Elementary School,-
Engaged Students,Chronic Absenteeism,James J. Chittick Elementary School,-
Engaged Students,Chronic Absenteeism,Horace Mann School for the Deaf & Hard of Hearing,-
Engaged Students,Chronic Absenteeism,Joseph P. Manning Elementary School,25
Engaged Students,Chronic Absenteeism,Joyce Kilmer K-8 School,50
Engaged Students,Chronic Absenteeism,Joseph J. Hurley K-8 School,100
Engaged Students,Chronic Absenteeism,Henry Grew Elementary School,100
Engaged Students,Chronic Absenteeism,John F. Kennedy Elementary School,100
Engaged Students,Chronic Absenteeism,Higginson (K-2) / Higginson/Lewis K-8,100
Engaged Students,Chronic Absenteeism,Joseph Lee K-8 School,100
Engaged Students,Chronic Absenteeism,John Winthrop Elementary School,100
Engaged Students,Chronic Absenteeism,James Otis Elementary School,100
Engaged Students,Chronic Absenteeism,Harvard-Kent Elementary School,100
Engaged Students,Chronic Absenteeism,Joseph P. Tynan Elementary School,100
Engaged Students,Chronic Absenteeism,James W. Hennigan Elementary School,100
Engaged Students,Chronic Absenteeism,James F. Condon K-8 School,100
Engaged Students,Chronic Absenteeism,Hugh R. O'Donnell Elementary School,100
Engaged Students,Chronic Absenteeism,John Eliot K-8 School,75
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Horace Mann School for the Deaf & Hard of Hearing,-
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Josiah Quincy Upper School,62.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Joyce Kilmer K-8 School,75
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Joseph J. Hurley K-8 School,75
Welcoming & Encourages Social Growth,Welcomed and Involved Families,John D. O'Bryant School of Mathematics and Science,75
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Joseph P. Tynan Elementary School,75
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Henry Grew Elementary School,87.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Josiah Quincy Elementary School,87.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,James Otis Elementary School,87.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Joseph Lee K-8 School,68.8
Welcoming & Encourages Social Growth,Welcomed and Involved Families,James J. Chittick Elementary School,68.8
Welcoming & Encourages Social Growth,Welcomed and Involved Families,James F. Condon K-8 School,68.8
Welcoming & Encourages Social Growth,Welcomed and Involved Families,John Winthrop Elementary School,68.8
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Joseph P. Manning Elementary School,81.3
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Hugh R. O'Donnell Elementary School,81.3
Welcoming & Encourages Social Growth,Welcomed and Involved Families,James W. Hennigan Elementary School,81.3
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Higginson (K-2) / Higginson/Lewis K-8,81.3
Welcoming & Encourages Social Growth,Welcomed and Involved Families,John F. Kennedy Elementary School,81.3
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Harvard-Kent Elementary School,81.3
Welcoming & Encourages Social Growth,Welcomed and Involved Families,John Eliot K-8 School,81.3
Sense of Inclusion,Inclusive of Families and Community,Joseph P. Tynan Elementary School,83.3
Sense of Inclusion,Inclusive of Families and Community,James J. Chittick Elementary School,70.8
Sense of Inclusion,Inclusive of Families and Community,Harvard-Kent Elementary School,79.2
Sense of Inclusion,Inclusive of Families and Community,John F. Kennedy Elementary School,79.2
Sense of Inclusion,Inclusive of Families and Community,John Eliot K-8 School,79.2
Sense of Inclusion,Inclusive of Families and Community,James Otis Elementary School,79.2
Sense of Inclusion,Inclusive of Families and Community,Higginson (K-2) / Higginson/Lewis K-8,79.2
Sense of Inclusion,Inclusive of Families and Community,Hugh R. O'Donnell Elementary School,79.2
Sense of Inclusion,Inclusive of Families and Community,Horace Mann School for the Deaf & Hard of Hearing,-
Sense of Inclusion,Inclusive of Families and Community,Joseph Lee K-8 School,62.5
Sense of Inclusion,Inclusive of Families and Community,Joseph J. Hurley K-8 School,75
Sense of Inclusion,Inclusive of Families and Community,Henry Grew Elementary School,75
Sense of Inclusion,Inclusive of Families and Community,James W. Hennigan Elementary School,75
Sense of Inclusion,Inclusive of Families and Community,Joseph P. Manning Elementary School,75
Sense of Inclusion,Inclusive of Families and Community,Josiah Quincy Elementary School,87.5
Sense of Inclusion,Inclusive of Families and Community,Josiah Quincy Upper School,58.3
Sense of Inclusion,Inclusive of Families and Community,John Winthrop Elementary School,58.3
Sense of Inclusion,Inclusive of Families and Community,John D. O'Bryant School of Mathematics and Science,66.7
Sense of Inclusion,Inclusive of Families and Community,James F. Condon K-8 School,66.7
Sense of Inclusion,Inclusive of Families and Community,Joyce Kilmer K-8 School,66.7
Culture of High Achievement,Challenging Academic Environment,Horace Mann School for the Deaf & Hard of Hearing,-
Culture of High Achievement,Challenging Academic Environment,John D. O'Bryant School of Mathematics and Science,50
Culture of High Achievement,Challenging Academic Environment,Joseph Lee K-8 School,50
Culture of High Achievement,Challenging Academic Environment,Josiah Quincy Elementary School,50
Culture of High Achievement,Challenging Academic Environment,James W. Hennigan Elementary School,50
Culture of High Achievement,Challenging Academic Environment,Josiah Quincy Upper School,50
Culture of High Achievement,Challenging Academic Environment,John Winthrop Elementary School,50
Culture of High Achievement,Challenging Academic Environment,Henry Grew Elementary School,62.5
Culture of High Achievement,Challenging Academic Environment,John Eliot K-8 School,75
Culture of High Achievement,Challenging Academic Environment,James F. Condon K-8 School,75
Culture of High Achievement,Challenging Academic Environment,James J. Chittick Elementary School,75
