School Name,Tier,Overall_Score
UP Academy Charter School of Dorchester,1,76
Warren-Prescott K-8 School,1,71
William Monroe Trotter Elementary School,2,64
Wolfgang Amadeus Mozart Elementary School,2,61
UP Academy Holland,2,58
Young Achievers School of Science & Math,2,55.5
William Blackstone Elementary School,3,47
Thomas J. Kenny Elementary School,3,46
William E. Russell Elementary School,4,42
William Ellery Channing Elementary School,4,40
William E. Carter School,n/a,-
