Outcome,Metric,School_Name,Score
College and Career,Graduate in 4 Years,Madison Park Technical Vocational High School,29.2
College and Career,Graduate in 4 Years,Mary Lyon Pilot High School,-
College and Career,Graduate in 4 Years,New Mission High School,100
College and Career,Graduate in 4 Years,Muriel S. Snowden International School at Copley,75
College and Career,Graduate in 4 Years,Margarita Muniz Academy,81.3
College and Career,Graduate in 5 Years,Madison Park Technical Vocational High School,70
College and Career,Graduate in 5 Years,Margarita Muniz Academy,60
College and Career,Graduate in 5 Years,New Mission High School,90
College and Career,Graduate in 5 Years,Mel H. King Prep,-
College and Career,Graduate in 5 Years,Mel H. King South End Academy,-
College and Career,Graduate in 5 Years,Mary Lyon Pilot High School,-
College and Career,Graduate in 5 Years,Muriel S. Snowden International School at Copley,50
Grade Level Mastery,ELA Achievement Gap,Mel H. King Elementary,-
Grade Level Mastery,ELA Achievement Gap,Mary Lyon Pilot High School,-
Grade Level Mastery,ELA Achievement Gap,Nathan Hale Elementary School,-
Grade Level Mastery,ELA Achievement Gap,Mario Umana Academy,-
Grade Level Mastery,ELA Achievement Gap,Mildred Avenue K-8 School,-
Grade Level Mastery,ELA Achievement Gap,Mel H. King South End Academy,-
Grade Level Mastery,ELA Achievement Gap,Mather Elementary School,-
Grade Level Mastery,ELA Achievement Gap,"Martin Luther King, Jr. Elementary School",-
Grade Level Mastery,ELA Achievement Gap,Lee Academy,-
Grade Level Mastery,ELA Achievement Gap,Michael J. Perkins Elementary School,-
Grade Level Mastery,ELA Achievement Gap,Maurice J. Tobin K-8 School,-
Grade Level Mastery,ELA Achievement Gap,Muriel S. Snowden International School at Copley,-
Grade Level Mastery,ELA Achievement Gap,Mattahunt Elementary School,-
Grade Level Mastery,ELA Achievement Gap,Madison Park Technical Vocational High School,-
Grade Level Mastery,ELA Achievement Gap,Mel H. King Middle,-
Grade Level Mastery,ELA Achievement Gap,New Mission High School,-
Grade Level Mastery,ELA Achievement Gap,Margarita Muniz Academy,-
Grade Level Mastery,ELA Achievement Gap,Mel H. King Prep,-
Grade Level Mastery,ELA Achievement Gap,Mary Lyon K-8 School,100
Grade Level Mastery,ELA Achievement Gap,Manassah E. Bradley Elementary School,75
Grade Level Mastery,Math Achievement Gap,Lee Academy,-
Grade Level Mastery,Math Achievement Gap,Mel H. King South End Academy,-
Grade Level Mastery,Math Achievement Gap,Mel H. King Middle,-
Grade Level Mastery,Math Achievement Gap,Mary Lyon K-8 School,-
Grade Level Mastery,Math Achievement Gap,Margarita Muniz Academy,-
Grade Level Mastery,Math Achievement Gap,Mel H. King Prep,-
Grade Level Mastery,Math Achievement Gap,Mario Umana Academy,-
Grade Level Mastery,Math Achievement Gap,Mary Lyon Pilot High School,-
Grade Level Mastery,Math Achievement Gap,Michael J. Perkins Elementary School,-
Grade Level Mastery,Math Achievement Gap,Mildred Avenue K-8 School,-
Grade Level Mastery,Math Achievement Gap,Maurice J. Tobin K-8 School,-
Grade Level Mastery,Math Achievement Gap,"Martin Luther King, Jr. Elementary School",-
Grade Level Mastery,Math Achievement Gap,Mel H. King Elementary,-
Grade Level Mastery,Math Achievement Gap,New Mission High School,-
Grade Level Mastery,Math Achievement Gap,Madison Park Technical Vocational High School,-
Grade Level Mastery,Math Achievement Gap,Muriel S. Snowden International School at Copley,-
Grade Level Mastery,Math Achievement Gap,Mattahunt Elementary School,-
Grade Level Mastery,Math Achievement Gap,Manassah E. Bradley Elementary School,100
Grade Level Mastery,Math Achievement Gap,Mather Elementary School,100
Grade Level Mastery,Math Achievement Gap,Nathan Hale Elementary School,75
College and Career,Students Set Goals and Persist,Mary Lyon Pilot High School,-
College and Career,Students Set Goals and Persist,Mel H. King Elementary,-
College and Career,Students Set Goals and Persist,Mel H. King Middle,-
College and Career,Students Set Goals and Persist,Mel H. King South End Academy,-
College and Career,Students Set Goals and Persist,Mel H. King Prep,-
College and Career,Students Set Goals and Persist,Lee Academy,-
College and Career,Students Set Goals and Persist,Madison Park Technical Vocational High School,25
College and Career,Students Set Goals and Persist,Mario Umana Academy,50
College and Career,Students Set Goals and Persist,Mary Lyon K-8 School,50
College and Career,Students Set Goals and Persist,Muriel S. Snowden International School at Copley,50
College and Career,Students Set Goals and Persist,Maurice J. Tobin K-8 School,50
College and Career,Students Set Goals and Persist,Margarita Muniz Academy,62.5
College and Career,Students Set Goals and Persist,Mildred Avenue K-8 School,62.5
College and Career,Students Set Goals and Persist,Manassah E. Bradley Elementary School,75
College and Career,Students Set Goals and Persist,Nathan Hale Elementary School,75
College and Career,Students Set Goals and Persist,Mather Elementary School,75
College and Career,Students Set Goals and Persist,Michael J. Perkins Elementary School,75
College and Career,Students Set Goals and Persist,"Martin Luther King, Jr. Elementary School",75
College and Career,Students Set Goals and Persist,New Mission High School,75
College and Career,Students Set Goals and Persist,Mattahunt Elementary School,75
College and Career,Drop-Out Rate,Mel H. King Prep,-
College and Career,Drop-Out Rate,Mel H. King South End Academy,-
College and Career,Drop-Out Rate,Mary Lyon Pilot High School,-
College and Career,Drop-Out Rate,Muriel S. Snowden International School at Copley,-
College and Career,Drop-Out Rate,Madison Park Technical Vocational High School,-
College and Career,Drop-Out Rate,Margarita Muniz Academy,50
College and Career,Drop-Out Rate,New Mission High School,75
Academic Growth,ELA Growth,New Mission High School,80.8
Academic Growth,ELA Growth,Mel H. King Prep,-
Academic Growth,ELA Growth,Lee Academy,-
Academic Growth,ELA Growth,Mel H. King South End Academy,-
Academic Growth,ELA Growth,Mary Lyon Pilot High School,-
Academic Growth,ELA Growth,Mel H. King Middle,-
Academic Growth,ELA Growth,Mel H. King Elementary,-
Academic Growth,ELA Growth,Margarita Muniz Academy,25
Academic Growth,ELA Growth,Michael J. Perkins Elementary School,50
Academic Growth,ELA Growth,Mildred Avenue K-8 School,50
Academic Growth,ELA Growth,"Martin Luther King, Jr. Elementary School",50
Academic Growth,ELA Growth,Mather Elementary School,50
Academic Growth,ELA Growth,Mattahunt Elementary School,50
Academic Growth,ELA Growth,Madison Park Technical Vocational High School,50
Academic Growth,ELA Growth,Muriel S. Snowden International School at Copley,75
Academic Growth,ELA Growth,Manassah E. Bradley Elementary School,75
Academic Growth,ELA Growth,Maurice J. Tobin K-8 School,75
Academic Growth,ELA Growth,Nathan Hale Elementary School,75
Academic Growth,ELA Growth,Mario Umana Academy,75
Academic Growth,ELA Growth,Mary Lyon K-8 School,75
Academic Growth,ELA Growth - Subgroups,"Martin Luther King, Jr. Elementary School",33.3
Academic Growth,ELA Growth - Subgroups,New Mission High School,78.9
Academic Growth,ELA Growth - Subgroups,Mary Lyon K-8 School,-
Academic Growth,ELA Growth - Subgroups,Mary Lyon Pilot High School,-
Academic Growth,ELA Growth - Subgroups,Lee Academy,-
Academic Growth,ELA Growth - Subgroups,Mel H. King South End Academy,-
Academic Growth,ELA Growth - Subgroups,Mel H. King Elementary,-
Academic Growth,ELA Growth - Subgroups,Michael J. Perkins Elementary School,-
Academic Growth,ELA Growth - Subgroups,Mel H. King Prep,-
Academic Growth,ELA Growth - Subgroups,Mel H. King Middle,-
Academic Growth,ELA Growth - Subgroups,Margarita Muniz Academy,25
Academic Growth,ELA Growth - Subgroups,Nathan Hale Elementary School,50
Academic Growth,ELA Growth - Subgroups,Mildred Avenue K-8 School,50
Academic Growth,ELA Growth - Subgroups,Madison Park Technical Vocational High School,50
Academic Growth,ELA Growth - Subgroups,Maurice J. Tobin K-8 School,62.5
Academic Growth,ELA Growth - Subgroups,Mather Elementary School,75
Academic Growth,ELA Growth - Subgroups,Mattahunt Elementary School,75
Academic Growth,ELA Growth - Subgroups,Mario Umana Academy,75
Academic Growth,ELA Growth - Subgroups,Muriel S. Snowden International School at Copley,75
Academic Growth,ELA Growth - Subgroups,Manassah E. Bradley Elementary School,87.5
Academic Growth,ELA Growth - High-Performing Students,"Martin Luther King, Jr. Elementary School",-
Academic Growth,ELA Growth - High-Performing Students,Muriel S. Snowden International School at Copley,-
Academic Growth,ELA Growth - High-Performing Students,Margarita Muniz Academy,-
Academic Growth,ELA Growth - High-Performing Students,Madison Park Technical Vocational High School,-
Academic Growth,ELA Growth - High-Performing Students,Mary Lyon Pilot High School,-
Academic Growth,ELA Growth - High-Performing Students,Mario Umana Academy,-
Academic Growth,ELA Growth - High-Performing Students,Mary Lyon K-8 School,-
Academic Growth,ELA Growth - High-Performing Students,Lee Academy,-
Academic Growth,ELA Growth - High-Performing Students,Mel H. King South End Academy,-
Academic Growth,ELA Growth - High-Performing Students,Michael J. Perkins Elementary School,-
Academic Growth,ELA Growth - High-Performing Students,Mel H. King Elementary,-
Academic Growth,ELA Growth - High-Performing Students,Mel H. King Middle,-
Academic Growth,ELA Growth - High-Performing Students,Mel H. King Prep,-
Academic Growth,ELA Growth - High-Performing Students,Mattahunt Elementary School,25
Academic Growth,ELA Growth - High-Performing Students,Mildred Avenue K-8 School,25
Academic Growth,ELA Growth - High-Performing Students,Mather Elementary School,50
Academic Growth,ELA Growth - High-Performing Students,Nathan Hale Elementary School,100
Academic Growth,ELA Growth - High-Performing Students,Manassah E. Bradley Elementary School,75
Academic Growth,ELA Growth - High-Performing Students,New Mission High School,75
Academic Growth,ELA Growth - High-Performing Students,Maurice J. Tobin K-8 School,75
Academic Growth,Math Growth - High-Performing Students,Margarita Muniz Academy,-
Academic Growth,Math Growth - High-Performing Students,Lee Academy,-
Academic Growth,Math Growth - High-Performing Students,Mel H. King Middle,-
Academic Growth,Math Growth - High-Performing Students,Muriel S. Snowden International School at Copley,-
Academic Growth,Math Growth - High-Performing Students,Mario Umana Academy,-
Academic Growth,Math Growth - High-Performing Students,Mary Lyon Pilot High School,-
Academic Growth,Math Growth - High-Performing Students,Mel H. King South End Academy,-
