School Name,Tier,Overall_Score
Manassah E. Bradley Elementary School,1,87
Nathan Hale Elementary School,1,81
New Mission High School,1,73
Michael J. Perkins Elementary School,1,73
Mary Lyon K-8 School,1,68
Mather Elementary School,2,65
Maurice J. Tobin K-8 School,2,64
Mattahunt Elementary School,2,64
Mario Umana Academy,2,60
Muriel S. Snowden International School at Copley,3,54
Mildred Avenue K-8 School,3,50
Madison Park Technical Vocational High School,4,45
"Martin Luther King, Jr. Elementary School",4,43
Margarita Muniz Academy,4,34
Mel H. King South End Academy,n/a,-
Mary Lyon Pilot High School,n/a,-
Mel H. King Prep,n/a,-
Mel H. King Middle,n/a,-
Mel H. King Elementary,n/a,-
Lee Academy,n/a,-
