School Name,Tier,Overall Score,Student Performance 75 points,"Family, Community, & Culture 10 points",Teacher & Learning 7.5 Points,Leadership & Collaboration 7.5 Points
Oliver Hazard Perry Elementary School,1,91,69.7,8.2,6.3,6.6
Phineas Bates Elementary School,1,86,67.4,7.9,5,5.4
Oliver W. Holmes Elementary School,1,82,64.1,7.4,5.6,4.9
Orchard Gardens K-8 School,1,77,62.5,6.3,4.4,3.8
Philbrick-Sumner Elementary School,1,66,48.8,7.1,5.3,4.7
Samuel Adams Elementary School,1,66,47.4,7.4,5.9,5.2
Sarah Greenwood K-8 School,2,61,42.4,6.8,5.6,6.1
Ruth Batson Academy,2,61,45.9,7,4.5,4
Thomas A. Edison Elementary School,2,61,44.1,7.2,5,4.5
The English High School,2,59,39.6,7.2,5.4,6.3
Patrick F. Lyndon K-8 Pilot School,2,58,42.4,7.1,5,3.8
Richard J. Murphy K-8 School,2,57,41.7,6.8,4.1,4.5
TechBoston Academy,2,56,38.8,6.6,4.9,5.9
Shaw-Taylor Elementary School,3,55,38.1,7.8,5,3.8
Rafael Hernandez Elementary School,3,53,37.9,6.9,4.4,4
Patrick J. Kennedy Elementary School,3,52,30.8,8.3,5.9,7
Roger Clap Innovation School,3,49,30.2,7.8,5.6,5.9
Samuel W. Mason Elementary School,3,45,28.1,7,5.6,4.7
Paul A. Dever Elementary School,4,32,17.5,7.2,4.7,3
Rev. Dr. Michael E. Haynes Early Education Center,n/a,null,null,null,null,null
