School Name,Tier,Overall_Score
Oliver Hazard Perry Elementary School,1,91
Phineas Bates Elementary School,1,86
Oliver W. Holmes Elementary School,1,82
Orchard Gardens K-8 School,1,77
Philbrick-Sumner Elementary School,1,66
Samuel Adams Elementary School,1,66
Sarah Greenwood K-8 School,2,61
Ruth Batson Academy,2,61
Thomas A. Edison Elementary School,2,61
The English High School,2,59
Patrick F. Lyndon K-8 Pilot School,2,58
Richard J. Murphy K-8 School,2,57
TechBoston Academy,2,56
Shaw-Taylor Elementary School,3,55
Rafael Hernandez Elementary School,3,53
Patrick J. Kennedy Elementary School,3,52
Roger Clap Innovation School,3,49
Samuel W. Mason Elementary School,3,45
Paul A. Dever Elementary School,4,32
Rev. Dr. Michael E. Haynes Early Education Center,n/a,-
