Outcome,Metric,School Name,Score
Sense of Inclusion,Staff Diversity,Michael J. Perkins Elementary School,31.3
Sense of Inclusion,Staff Diversity,Mel H. King Elementary,-
Sense of Inclusion,Staff Diversity,Mel H. King Prep,-
Sense of Inclusion,Staff Diversity,Mel H. King South End Academy,-
Sense of Inclusion,Staff Diversity,Mary Lyon Pilot High School,-
Sense of Inclusion,Staff Diversity,Mel H. King Middle,-
Sense of Inclusion,Staff Diversity,Lee Academy,-
Sense of Inclusion,Staff Diversity,Manassah E. Bradley Elementary School,50
Sense of Inclusion,Staff Diversity,Margarita Muniz Academy,50
Sense of Inclusion,Staff Diversity,Mario Umana Academy,50
Sense of Inclusion,Staff Diversity,Mildred Avenue K-8 School,100
Sense of Inclusion,Staff Diversity,Madison Park Technical Vocational High School,100
Sense of Inclusion,Staff Diversity,Nathan Hale Elementary School,100
Sense of Inclusion,Staff Diversity,Mather Elementary School,100
Sense of Inclusion,Staff Diversity,"Martin Luther King, Jr. Elementary School",100
Sense of Inclusion,Staff Diversity,Muriel S. Snowden International School at Copley,62.5
Sense of Inclusion,Staff Diversity,Mary Lyon K-8 School,37.5
Sense of Inclusion,Staff Diversity,New Mission High School,75
Sense of Inclusion,Staff Diversity,Mattahunt Elementary School,75
Sense of Inclusion,Staff Diversity,Maurice J. Tobin K-8 School,87.5
Engaged Students,Chronic Absenteeism,Mel H. King Elementary,-
Engaged Students,Chronic Absenteeism,Mel H. King Middle,-
Engaged Students,Chronic Absenteeism,Mel H. King Prep,-
Engaged Students,Chronic Absenteeism,Mary Lyon Pilot High School,-
Engaged Students,Chronic Absenteeism,Mel H. King South End Academy,-
Engaged Students,Chronic Absenteeism,Michael J. Perkins Elementary School,-
Engaged Students,Chronic Absenteeism,Lee Academy,-
Engaged Students,Chronic Absenteeism,Mario Umana Academy,25
Engaged Students,Chronic Absenteeism,Margarita Muniz Academy,50
Engaged Students,Chronic Absenteeism,Mildred Avenue K-8 School,100
Engaged Students,Chronic Absenteeism,Muriel S. Snowden International School at Copley,100
Engaged Students,Chronic Absenteeism,Mary Lyon K-8 School,100
Engaged Students,Chronic Absenteeism,Nathan Hale Elementary School,100
Engaged Students,Chronic Absenteeism,New Mission High School,100
