Outcome,Metric,School_Name,Score
College and Career,Graduate in 4 Years,TechBoston Academy,60
College and Career,Graduate in 4 Years,The English High School,70
College and Career,Graduate in 4 Years,Ruth Batson Academy,60
College and Career,Graduate in 5 Years,The English High School,70
College and Career,Graduate in 5 Years,Ruth Batson Academy,70
College and Career,Graduate in 5 Years,TechBoston Academy,75
Grade Level Mastery,ELA Achievement Gap,Ruth Batson Academy,-
Grade Level Mastery,ELA Achievement Gap,Rev. Dr. Michael E. Haynes Early Education Center,-
Grade Level Mastery,ELA Achievement Gap,Patrick J. Kennedy Elementary School,-
Grade Level Mastery,ELA Achievement Gap,Oliver W. Holmes Elementary School,-
Grade Level Mastery,ELA Achievement Gap,Shaw-Taylor Elementary School,-
Grade Level Mastery,ELA Achievement Gap,Orchard Gardens K-8 School,-
Grade Level Mastery,ELA Achievement Gap,Samuel W. Mason Elementary School,-
Grade Level Mastery,ELA Achievement Gap,Rafael Hernandez Elementary School,-
Grade Level Mastery,ELA Achievement Gap,TechBoston Academy,-
Grade Level Mastery,ELA Achievement Gap,Richard J. Murphy K-8 School,-
Grade Level Mastery,ELA Achievement Gap,Sarah Greenwood K-8 School,-
Grade Level Mastery,ELA Achievement Gap,Oliver Hazard Perry Elementary School,-
Grade Level Mastery,ELA Achievement Gap,Roger Clap Innovation School,-
Grade Level Mastery,ELA Achievement Gap,Paul A. Dever Elementary School,-
Grade Level Mastery,ELA Achievement Gap,The English High School,-
Grade Level Mastery,ELA Achievement Gap,Patrick F. Lyndon K-8 Pilot School,100
Grade Level Mastery,ELA Achievement Gap,Samuel Adams Elementary School,100
Grade Level Mastery,ELA Achievement Gap,Philbrick-Sumner Elementary School,100
Grade Level Mastery,ELA Achievement Gap,Phineas Bates Elementary School,75
Grade Level Mastery,ELA Achievement Gap,Thomas A. Edison Elementary School,75
Grade Level Mastery,Math Achievement Gap,Orchard Gardens K-8 School,-
Grade Level Mastery,Math Achievement Gap,Sarah Greenwood K-8 School,-
Grade Level Mastery,Math Achievement Gap,Rafael Hernandez Elementary School,-
Grade Level Mastery,Math Achievement Gap,Patrick J. Kennedy Elementary School,-
Grade Level Mastery,Math Achievement Gap,Paul A. Dever Elementary School,-
Grade Level Mastery,Math Achievement Gap,The English High School,-
Grade Level Mastery,Math Achievement Gap,Shaw-Taylor Elementary School,-
