Outcome,Metric,School Name,Score
Quality Teachers,Teacher Effectiveness,East Boston Early Education Center,-
Quality Teachers,Teacher Effectiveness,Dr. Catherine Ellison - Rosa Parks Early Education School,-
Quality Teachers,Teacher Effectiveness,Greater Egleston Community High School,-
Quality Teachers,Teacher Effectiveness,Harriet A. Baldwin Early Learning Pilot Academy,-
Quality Teachers,Teacher Effectiveness,East Boston High School,50
Quality Teachers,Teacher Effectiveness,"Dearborn Science, Technology, Engineering and Mathematics Academy",50
Quality Teachers,Teacher Effectiveness,Franklin D. Roosevelt Elementary School,50
Quality Teachers,Teacher Effectiveness,Excel High School,50
Quality Teachers,Teacher Effectiveness,Gardner Pilot Academy,62.5
Quality Teachers,Teacher Effectiveness,Donald McKay K-8 School,62.5
Quality Teachers,Teacher Effectiveness,Edward M. Kennedy Academy for Health Careers,62.5
Quality Teachers,Teacher Effectiveness,David A. Ellis Elementary School,62.5
Quality Teachers,Teacher Effectiveness,Dennis C. Haley Elementary School,62.5
Quality Teachers,Teacher Effectiveness,Dr. William W. Henderson K-12 Inclusion School,75
Quality Teachers,Teacher Effectiveness,Fenway High School,75
Quality Teachers,Teacher Effectiveness,Dudley Street Neighborhood Charter School,75
Quality Teachers,Teacher Effectiveness,Edward Everett Elementary School,75
Quality Teachers,Teacher Effectiveness,Ellis Mendell Elementary School,75
Quality Teachers,Teacher Effectiveness,F. Lyman Winship Elementary School,75
Quality Teachers,Teacher Effectiveness,George H. Conley Elementary School,87.5
Effective Leadership,School has Effective Leadership,East Boston Early Education Center,-
Effective Leadership,School has Effective Leadership,Greater Egleston Community High School,-
Effective Leadership,School has Effective Leadership,Dr. Catherine Ellison - Rosa Parks Early Education School,-
Effective Leadership,School has Effective Leadership,Harriet A. Baldwin Early Learning Pilot Academy,-
Effective Leadership,School has Effective Leadership,Fenway High School,25
Effective Leadership,School has Effective Leadership,Ellis Mendell Elementary School,50
Effective Leadership,School has Effective Leadership,Dudley Street Neighborhood Charter School,50
Effective Leadership,School has Effective Leadership,Gardner Pilot Academy,50
Effective Leadership,School has Effective Leadership,Franklin D. Roosevelt Elementary School,50
Effective Leadership,School has Effective Leadership,Dr. William W. Henderson K-12 Inclusion School,50
Effective Leadership,School has Effective Leadership,"Dearborn Science, Technology, Engineering and Mathematics Academy",100
Effective Leadership,School has Effective Leadership,East Boston High School,100
Effective Leadership,School has Effective Leadership,Edward M. Kennedy Academy for Health Careers,62.5
Effective Leadership,School has Effective Leadership,Excel High School,62.5
Effective Leadership,School has Effective Leadership,Donald McKay K-8 School,37.5
Effective Leadership,School has Effective Leadership,Dennis C. Haley Elementary School,75
Effective Leadership,School has Effective Leadership,Edward Everett Elementary School,75
Effective Leadership,School has Effective Leadership,F. Lyman Winship Elementary School,75
Effective Leadership,School has Effective Leadership,David A. Ellis Elementary School,87.5
Effective Leadership,School has Effective Leadership,George H. Conley Elementary School,87.5
Valuable Curriculum,Rigorous Curriculum,Dr. Catherine Ellison - Rosa Parks Early Education School,-
Valuable Curriculum,Rigorous Curriculum,Greater Egleston Community High School,-
Valuable Curriculum,Rigorous Curriculum,East Boston Early Education Center,-
Valuable Curriculum,Rigorous Curriculum,Harriet A. Baldwin Early Learning Pilot Academy,-
Valuable Curriculum,Rigorous Curriculum,Franklin D. Roosevelt Elementary School,50
Valuable Curriculum,Rigorous Curriculum,East Boston High School,50
Valuable Curriculum,Rigorous Curriculum,"Dearborn Science, Technology, Engineering and Mathematics Academy",50
Valuable Curriculum,Rigorous Curriculum,Dennis C. Haley Elementary School,62.5
Valuable Curriculum,Rigorous Curriculum,Gardner Pilot Academy,62.5
Valuable Curriculum,Rigorous Curriculum,Donald McKay K-8 School,62.5
Valuable Curriculum,Rigorous Curriculum,David A. Ellis Elementary School,62.5
Valuable Curriculum,Rigorous Curriculum,Excel High School,37.5
Valuable Curriculum,Rigorous Curriculum,Edward Everett Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Ellis Mendell Elementary School,75
Valuable Curriculum,Rigorous Curriculum,F. Lyman Winship Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Fenway High School,75
Valuable Curriculum,Rigorous Curriculum,Dudley Street Neighborhood Charter School,75
Valuable Curriculum,Rigorous Curriculum,Edward M. Kennedy Academy for Health Careers,75
Valuable Curriculum,Rigorous Curriculum,Dr. William W. Henderson K-12 Inclusion School,75
Valuable Curriculum,Rigorous Curriculum,George H. Conley Elementary School,87.5
Valuable Curriculum,College and Career Readiness,Greater Egleston Community High School,-
Valuable Curriculum,College and Career Readiness,Excel High School,25
Valuable Curriculum,College and Career Readiness,Edward M. Kennedy Academy for Health Careers,50
Valuable Curriculum,College and Career Readiness,East Boston High School,50
Valuable Curriculum,College and Career Readiness,Fenway High School,75
Valuable Curriculum,College and Career Readiness,"Dearborn Science, Technology, Engineering and Mathematics Academy",75
