School Name,Tier,Overall_Score
Donald McKay K-8 School,1,70
Fenway High School,1,69
David A. Ellis Elementary School,1,67
F. Lyman Winship Elementary School,2,63
George H. Conley Elementary School,2,60
Dennis C. Haley Elementary School,2,59
East Boston High School,2,59
Edward M. Kennedy Academy for Health Careers,2,58
Franklin D. Roosevelt Elementary School,2,55
Gardner Pilot Academy,3,55
"Dearborn Science, Technology, Engineering and Mathematics Academy",3,50
Ellis Mendell Elementary School,3,46
Dudley Street Neighborhood Charter School,4,45
Edward Everett Elementary School,4,44
Dr. William W. Henderson K-12 Inclusion School,4,44
Excel High School,4,29
Dr. Catherine Ellison - Rosa Parks Early Education School,n/a,-
Greater Egleston Community High School,n/a,-
East Boston Early Education Center,n/a,-
Harriet A. Baldwin Early Learning Pilot Academy,n/a,-
