Outcome,Metric,School Name,Score
Culture of High Achievement,Challenging Academic Environment,Community Academy,-
Culture of High Achievement,Challenging Academic Environment,Boston Collaborative High School,-
Culture of High Achievement,Challenging Academic Environment,Boston International High School,-
Culture of High Achievement,Challenging Academic Environment,Boston Arts Academy,50
Culture of High Achievement,Challenging Academic Environment,Curley K-8 School,50
Culture of High Achievement,Challenging Academic Environment,Boston Green Academy,50
Culture of High Achievement,Challenging Academic Environment,Boston Latin Academy,50
Culture of High Achievement,Challenging Academic Environment,Boston Latin School,50
Culture of High Achievement,Challenging Academic Environment,Another Course to College,62.5
Culture of High Achievement,Challenging Academic Environment,Beethoven/Ohrenberger,62.5
Culture of High Achievement,Challenging Academic Environment,Community Academy of Science and Health,62.5
Culture of High Achievement,Challenging Academic Environment,Boston Teachers Union K-8 Pilot School,62.5
Culture of High Achievement,Challenging Academic Environment,Albert D Holland School of Technology,75
Culture of High Achievement,Challenging Academic Environment,Dante Alighieri Elementary Montessori School,75
Culture of High Achievement,Challenging Academic Environment,Curtis Guild Elementary School,75
Culture of High Achievement,Challenging Academic Environment,Charlestown High School,75
Safe & Conducive to Learning,Safety,Another Course to College,43.8
Safe & Conducive to Learning,Safety,Boston Green Academy,43.8
Safe & Conducive to Learning,Safety,Boston Adult Technical Academy,-
Safe & Conducive to Learning,Safety,Boston Collaborative High School,-
Safe & Conducive to Learning,Safety,Boston International High School,-
Safe & Conducive to Learning,Safety,Boston Day and Evening Academy,-
Safe & Conducive to Learning,Safety,Community Academy,-
Safe & Conducive to Learning,Safety,Brighton High School,-
Safe & Conducive to Learning,Safety,Curley K-8 School,50
Safe & Conducive to Learning,Safety,Boston Latin Academy,50
Safe & Conducive to Learning,Safety,Dante Alighieri Elementary Montessori School,100
Safe & Conducive to Learning,Safety,Community Academy of Science and Health,62.5
Safe & Conducive to Learning,Safety,Beethoven/Ohrenberger,75
Safe & Conducive to Learning,Safety,Boston Latin School,75
Safe & Conducive to Learning,Safety,Charlestown High School,68.8
Safe & Conducive to Learning,Safety,Curtis Guild Elementary School,81.3
Safe & Conducive to Learning,Safety,Boston Arts Academy,56.3
Safe & Conducive to Learning,Safety,Boston Teachers Union K-8 Pilot School,56.3
Safe & Conducive to Learning,Safety,Albert D Holland School of Technology,56.3
Engaged Students,Student Engagement and Enthusiasm,Community Academy,-
Engaged Students,Student Engagement and Enthusiasm,Brighton High School,-
Engaged Students,Student Engagement and Enthusiasm,Boston Collaborative High School,-
Engaged Students,Student Engagement and Enthusiasm,Boston Day and Evening Academy,-
Engaged Students,Student Engagement and Enthusiasm,Boston Adult Technical Academy,-
Engaged Students,Student Engagement and Enthusiasm,Boston International High School,-
Engaged Students,Student Engagement and Enthusiasm,Boston Latin Academy,50
Engaged Students,Student Engagement and Enthusiasm,Boston Arts Academy,50
Engaged Students,Student Engagement and Enthusiasm,Boston Latin School,62.5
Engaged Students,Student Engagement and Enthusiasm,Curley K-8 School,62.5
Engaged Students,Student Engagement and Enthusiasm,Boston Teachers Union K-8 Pilot School,62.5
Engaged Students,Student Engagement and Enthusiasm,Albert D Holland School of Technology,62.5
Engaged Students,Student Engagement and Enthusiasm,Community Academy of Science and Health,62.5
Engaged Students,Student Engagement and Enthusiasm,Another Course to College,37.5
Engaged Students,Student Engagement and Enthusiasm,Boston Green Academy,37.5
Engaged Students,Student Engagement and Enthusiasm,Beethoven/Ohrenberger,75
Engaged Students,Student Engagement and Enthusiasm,Charlestown High School,75
Engaged Students,Student Engagement and Enthusiasm,Curtis Guild Elementary School,75
Engaged Students,Student Engagement and Enthusiasm,Dante Alighieri Elementary Montessori School,75
Welcoming & Encourages Social Growth,Family Engagement,Boston Adult Technical Academy,-
Welcoming & Encourages Social Growth,Family Engagement,Community Academy,-
Welcoming & Encourages Social Growth,Family Engagement,Boston Collaborative High School,-
Welcoming & Encourages Social Growth,Family Engagement,Boston Day and Evening Academy,-
Welcoming & Encourages Social Growth,Family Engagement,Brighton High School,-
Welcoming & Encourages Social Growth,Family Engagement,Boston International High School,-
Welcoming & Encourages Social Growth,Family Engagement,Albert D Holland School of Technology,100
Welcoming & Encourages Social Growth,Family Engagement,Boston Green Academy,100
Welcoming & Encourages Social Growth,Family Engagement,Beethoven/Ohrenberger,100
Welcoming & Encourages Social Growth,Family Engagement,Dante Alighieri Elementary Montessori School,100
Welcoming & Encourages Social Growth,Family Engagement,Boston Latin School,100
Welcoming & Encourages Social Growth,Family Engagement,Boston Teachers Union K-8 Pilot School,100
Welcoming & Encourages Social Growth,Family Engagement,Curtis Guild Elementary School,100
Welcoming & Encourages Social Growth,Family Engagement,Community Academy of Science and Health,62.5
Welcoming & Encourages Social Growth,Family Engagement,Boston Latin Academy,75
Welcoming & Encourages Social Growth,Family Engagement,Another Course to College,87.5
Welcoming & Encourages Social Growth,Family Engagement,Boston Arts Academy,87.5
Welcoming & Encourages Social Growth,Family Engagement,Charlestown High School,87.5
Welcoming & Encourages Social Growth,Family Engagement,Curley K-8 School,87.5
Safe & Conducive to Learning,Suspensions,Community Academy,-
Safe & Conducive to Learning,Suspensions,Boston International High School,-
Safe & Conducive to Learning,Suspensions,Boston Day and Evening Academy,-
Safe & Conducive to Learning,Suspensions,Brighton High School,-
Safe & Conducive to Learning,Suspensions,Boston Adult Technical Academy,-
Safe & Conducive to Learning,Suspensions,Boston Collaborative High School,-
Safe & Conducive to Learning,Suspensions,Boston Green Academy,25
Safe & Conducive to Learning,Suspensions,Beethoven/Ohrenberger,50
Safe & Conducive to Learning,Suspensions,Curley K-8 School,50
Safe & Conducive to Learning,Suspensions,Charlestown High School,50
Safe & Conducive to Learning,Suspensions,Boston Latin Academy,50
Safe & Conducive to Learning,Suspensions,Boston Arts Academy,62.5
Safe & Conducive to Learning,Suspensions,Albert D Holland School of Technology,62.5
Safe & Conducive to Learning,Suspensions,Another Course to College,62.5
Safe & Conducive to Learning,Suspensions,Boston Teachers Union K-8 Pilot School,37.5
Safe & Conducive to Learning,Suspensions,Community Academy of Science and Health,37.5
Safe & Conducive to Learning,Suspensions,Boston Latin School,75
