Outcome,Metric,School Name,Score
Vision,Leadership Engages the Community,Harriet A. Baldwin Early Learning Pilot Academy,-
Vision,Leadership Engages the Community,Greater Egleston Community High School,-
Vision,Leadership Engages the Community,Dr. Catherine Ellison - Rosa Parks Early Education School,-
Vision,Leadership Engages the Community,East Boston Early Education Center,-
Vision,Leadership Engages the Community,Dr. William W. Henderson K-12 Inclusion School,50
Vision,Leadership Engages the Community,Excel High School,50
Vision,Leadership Engages the Community,"Dearborn Science, Technology, Engineering and Mathematics Academy",100
Vision,Leadership Engages the Community,East Boston High School,100
Vision,Leadership Engages the Community,George H. Conley Elementary School,100
Vision,Leadership Engages the Community,F. Lyman Winship Elementary School,100
Vision,Leadership Engages the Community,Gardner Pilot Academy,62.5
Vision,Leadership Engages the Community,Dudley Street Neighborhood Charter School,62.5
Vision,Leadership Engages the Community,Ellis Mendell Elementary School,62.5
Vision,Leadership Engages the Community,Donald McKay K-8 School,62.5
Vision,Leadership Engages the Community,Fenway High School,37.5
Vision,Leadership Engages the Community,Franklin D. Roosevelt Elementary School,37.5
Vision,Leadership Engages the Community,David A. Ellis Elementary School,75
Vision,Leadership Engages the Community,Edward M. Kennedy Academy for Health Careers,75
Vision,Leadership Engages the Community,Dennis C. Haley Elementary School,75
Vision,Leadership Engages the Community,Edward Everett Elementary School,87.5
Collaborative Culture,Staff Collaboration and Community,Dr. Catherine Ellison - Rosa Parks Early Education School,-
Collaborative Culture,Staff Collaboration and Community,Greater Egleston Community High School,-
Collaborative Culture,Staff Collaboration and Community,Harriet A. Baldwin Early Learning Pilot Academy,-
Collaborative Culture,Staff Collaboration and Community,East Boston Early Education Center,-
Collaborative Culture,Staff Collaboration and Community,Dudley Street Neighborhood Charter School,50
Collaborative Culture,Staff Collaboration and Community,Dr. William W. Henderson K-12 Inclusion School,50
Collaborative Culture,Staff Collaboration and Community,Excel High School,50
Collaborative Culture,Staff Collaboration and Community,Gardner Pilot Academy,50
Collaborative Culture,Staff Collaboration and Community,East Boston High School,100
Collaborative Culture,Staff Collaboration and Community,F. Lyman Winship Elementary School,100
Collaborative Culture,Staff Collaboration and Community,Fenway High School,62.5
Collaborative Culture,Staff Collaboration and Community,David A. Ellis Elementary School,62.5
Collaborative Culture,Staff Collaboration and Community,Franklin D. Roosevelt Elementary School,62.5
Collaborative Culture,Staff Collaboration and Community,Donald McKay K-8 School,62.5
Collaborative Culture,Staff Collaboration and Community,George H. Conley Elementary School,75
Collaborative Culture,Staff Collaboration and Community,"Dearborn Science, Technology, Engineering and Mathematics Academy",75
Collaborative Culture,Staff Collaboration and Community,Ellis Mendell Elementary School,75
Collaborative Culture,Staff Collaboration and Community,Edward M. Kennedy Academy for Health Careers,75
Collaborative Culture,Staff Collaboration and Community,Dennis C. Haley Elementary School,75
Collaborative Culture,Staff Collaboration and Community,Edward Everett Elementary School,87.5
Leveraging Effective Teachers,Leadership Supports Teachers,Greater Egleston Community High School,-
Leveraging Effective Teachers,Leadership Supports Teachers,East Boston Early Education Center,-
Leveraging Effective Teachers,Leadership Supports Teachers,Harriet A. Baldwin Early Learning Pilot Academy,-
Leveraging Effective Teachers,Leadership Supports Teachers,Dr. Catherine Ellison - Rosa Parks Early Education School,-
Leveraging Effective Teachers,Leadership Supports Teachers,Excel High School,50
Leveraging Effective Teachers,Leadership Supports Teachers,Dr. William W. Henderson K-12 Inclusion School,50
Leveraging Effective Teachers,Leadership Supports Teachers,F. Lyman Winship Elementary School,100
Leveraging Effective Teachers,Leadership Supports Teachers,East Boston High School,100
Leveraging Effective Teachers,Leadership Supports Teachers,"Dearborn Science, Technology, Engineering and Mathematics Academy",100
Leveraging Effective Teachers,Leadership Supports Teachers,George H. Conley Elementary School,100
Leveraging Effective Teachers,Leadership Supports Teachers,Dudley Street Neighborhood Charter School,62.5
Leveraging Effective Teachers,Leadership Supports Teachers,Ellis Mendell Elementary School,62.5
Leveraging Effective Teachers,Leadership Supports Teachers,Donald McKay K-8 School,62.5
Leveraging Effective Teachers,Leadership Supports Teachers,Fenway High School,37.5
Leveraging Effective Teachers,Leadership Supports Teachers,Franklin D. Roosevelt Elementary School,37.5
Leveraging Effective Teachers,Leadership Supports Teachers,David A. Ellis Elementary School,75
Leveraging Effective Teachers,Leadership Supports Teachers,Gardner Pilot Academy,75
Leveraging Effective Teachers,Leadership Supports Teachers,Dennis C. Haley Elementary School,75
Leveraging Effective Teachers,Leadership Supports Teachers,Edward M. Kennedy Academy for Health Careers,75
Leveraging Effective Teachers,Leadership Supports Teachers,Edward Everett Elementary School,87.5
Leveraging Effective Teachers,Rate of Returning Teachers,Greater Egleston Community High School,-
Leveraging Effective Teachers,Rate of Returning Teachers,East Boston Early Education Center,-
Leveraging Effective Teachers,Rate of Returning Teachers,Dr. Catherine Ellison - Rosa Parks Early Education School,-
Leveraging Effective Teachers,Rate of Returning Teachers,Harriet A. Baldwin Early Learning Pilot Academy,-
Leveraging Effective Teachers,Rate of Returning Teachers,George H. Conley Elementary School,50
Leveraging Effective Teachers,Rate of Returning Teachers,Dr. William W. Henderson K-12 Inclusion School,50
Leveraging Effective Teachers,Rate of Returning Teachers,Dudley Street Neighborhood Charter School,50
Leveraging Effective Teachers,Rate of Returning Teachers,Fenway High School,100
Leveraging Effective Teachers,Rate of Returning Teachers,Edward Everett Elementary School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,Excel High School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,Ellis Mendell Elementary School,62.5
Leveraging Effective Teachers,Rate of Returning Teachers,Franklin D. Roosevelt Elementary School,75
Leveraging Effective Teachers,Rate of Returning Teachers,East Boston High School,75
Leveraging Effective Teachers,Rate of Returning Teachers,Gardner Pilot Academy,75
Leveraging Effective Teachers,Rate of Returning Teachers,David A. Ellis Elementary School,75
Leveraging Effective Teachers,Rate of Returning Teachers,"Dearborn Science, Technology, Engineering and Mathematics Academy",75
Leveraging Effective Teachers,Rate of Returning Teachers,F. Lyman Winship Elementary School,75
Leveraging Effective Teachers,Rate of Returning Teachers,Donald McKay K-8 School,75
Leveraging Effective Teachers,Rate of Returning Teachers,Dennis C. Haley Elementary School,87.5
Leveraging Effective Teachers,Rate of Returning Teachers,Edward M. Kennedy Academy for Health Careers,87.5
