Outcome,Metric,School Name,Score
Quality Teachers,Teacher Effectiveness,Community Academy,-
Quality Teachers,Teacher Effectiveness,Boston Adult Technical Academy,-
Quality Teachers,Teacher Effectiveness,Boston International High School,-
Quality Teachers,Teacher Effectiveness,Boston Day and Evening Academy,-
Quality Teachers,Teacher Effectiveness,Boston Collaborative High School,-
Quality Teachers,Teacher Effectiveness,Brighton High School,-
Quality Teachers,Teacher Effectiveness,Boston Latin School,50
Quality Teachers,Teacher Effectiveness,Boston Green Academy,50
Quality Teachers,Teacher Effectiveness,Another Course to College,50
Quality Teachers,Teacher Effectiveness,Boston Arts Academy,50
Quality Teachers,Teacher Effectiveness,Curley K-8 School,50
Quality Teachers,Teacher Effectiveness,Boston Latin Academy,50
Quality Teachers,Teacher Effectiveness,Beethoven/Ohrenberger,62.5
Quality Teachers,Teacher Effectiveness,Boston Teachers Union K-8 Pilot School,62.5
Quality Teachers,Teacher Effectiveness,Community Academy of Science and Health,62.5
Quality Teachers,Teacher Effectiveness,Charlestown High School,75
Quality Teachers,Teacher Effectiveness,Dante Alighieri Elementary Montessori School,75
Quality Teachers,Teacher Effectiveness,Albert D Holland School of Technology,75
Quality Teachers,Teacher Effectiveness,Curtis Guild Elementary School,75
Effective Leadership,School has Effective Leadership,Community Academy,-
Effective Leadership,School has Effective Leadership,Brighton High School,-
Effective Leadership,School has Effective Leadership,Boston Adult Technical Academy,-
Effective Leadership,School has Effective Leadership,Boston International High School,-
Effective Leadership,School has Effective Leadership,Boston Day and Evening Academy,-
Effective Leadership,School has Effective Leadership,Boston Collaborative High School,-
Effective Leadership,School has Effective Leadership,Another Course to College,25
Effective Leadership,School has Effective Leadership,Boston Latin Academy,25
Effective Leadership,School has Effective Leadership,Boston Latin School,50
Effective Leadership,School has Effective Leadership,Boston Arts Academy,50
Effective Leadership,School has Effective Leadership,Curley K-8 School,50
Effective Leadership,School has Effective Leadership,Charlestown High School,62.5
Effective Leadership,School has Effective Leadership,Beethoven/Ohrenberger,62.5
Effective Leadership,School has Effective Leadership,Albert D Holland School of Technology,62.5
Effective Leadership,School has Effective Leadership,Boston Teachers Union K-8 Pilot School,37.5
Effective Leadership,School has Effective Leadership,Boston Green Academy,37.5
Effective Leadership,School has Effective Leadership,Curtis Guild Elementary School,75
Effective Leadership,School has Effective Leadership,Community Academy of Science and Health,75
Effective Leadership,School has Effective Leadership,Dante Alighieri Elementary Montessori School,87.5
Valuable Curriculum,Rigorous Curriculum,Boston Day and Evening Academy,-
Valuable Curriculum,Rigorous Curriculum,Community Academy,-
Valuable Curriculum,Rigorous Curriculum,Boston Collaborative High School,-
Valuable Curriculum,Rigorous Curriculum,Boston International High School,-
Valuable Curriculum,Rigorous Curriculum,Boston Adult Technical Academy,-
Valuable Curriculum,Rigorous Curriculum,Brighton High School,-
Valuable Curriculum,Rigorous Curriculum,Curley K-8 School,50
Valuable Curriculum,Rigorous Curriculum,Boston Arts Academy,50
Valuable Curriculum,Rigorous Curriculum,Boston Latin School,50
Valuable Curriculum,Rigorous Curriculum,Boston Latin Academy,50
Valuable Curriculum,Rigorous Curriculum,Boston Green Academy,50
Valuable Curriculum,Rigorous Curriculum,Community Academy of Science and Health,62.5
Valuable Curriculum,Rigorous Curriculum,Another Course to College,62.5
Valuable Curriculum,Rigorous Curriculum,Boston Teachers Union K-8 Pilot School,62.5
Valuable Curriculum,Rigorous Curriculum,Beethoven/Ohrenberger,62.5
Valuable Curriculum,Rigorous Curriculum,Dante Alighieri Elementary Montessori School,75
Valuable Curriculum,Rigorous Curriculum,Albert D Holland School of Technology,75
Valuable Curriculum,Rigorous Curriculum,Curtis Guild Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Charlestown High School,75
Valuable Curriculum,College and Career Readiness,Boston International High School,-
Valuable Curriculum,College and Career Readiness,Boston Collaborative High School,-
Valuable Curriculum,College and Career Readiness,Boston Adult Technical Academy,-
Valuable Curriculum,College and Career Readiness,Boston Day and Evening Academy,-
Valuable Curriculum,College and Career Readiness,Community Academy,-
Valuable Curriculum,College and Career Readiness,Brighton High School,-
Valuable Curriculum,College and Career Readiness,Boston Latin Academy,25
Valuable Curriculum,College and Career Readiness,Charlestown High School,50
Valuable Curriculum,College and Career Readiness,Community Academy of Science and Health,50
Valuable Curriculum,College and Career Readiness,Boston Latin School,100
Valuable Curriculum,College and Career Readiness,Albert D Holland School of Technology,100
Valuable Curriculum,College and Career Readiness,Boston Arts Academy,100
Valuable Curriculum,College and Career Readiness,Another Course to College,100
Valuable Curriculum,College and Career Readiness,Boston Green Academy,100
