Outcome,Metric,School Name,Score
Quality Teachers,Teacher Effectiveness,William E. Carter School,-
Quality Teachers,Teacher Effectiveness,UP Academy Charter School of Dorchester,50
Quality Teachers,Teacher Effectiveness,Thomas J. Kenny Elementary School,62.5
Quality Teachers,Teacher Effectiveness,Warren-Prescott K-8 School,62.5
Quality Teachers,Teacher Effectiveness,UP Academy Holland,62.5
Quality Teachers,Teacher Effectiveness,Young Achievers School of Science & Math,37.5
Quality Teachers,Teacher Effectiveness,William Blackstone Elementary School,75
Quality Teachers,Teacher Effectiveness,William Ellery Channing Elementary School,75
Quality Teachers,Teacher Effectiveness,William E. Russell Elementary School,75
Quality Teachers,Teacher Effectiveness,Wolfgang Amadeus Mozart Elementary School,75
Quality Teachers,Teacher Effectiveness,William Monroe Trotter Elementary School,75
Effective Leadership,School has Effective Leadership,William E. Carter School,-
Effective Leadership,School has Effective Leadership,UP Academy Holland,50
Effective Leadership,School has Effective Leadership,UP Academy Charter School of Dorchester,50
Effective Leadership,School has Effective Leadership,Young Achievers School of Science & Math,50
Effective Leadership,School has Effective Leadership,Warren-Prescott K-8 School,100
Effective Leadership,School has Effective Leadership,William Ellery Channing Elementary School,100
Effective Leadership,School has Effective Leadership,Wolfgang Amadeus Mozart Elementary School,62.5
Effective Leadership,School has Effective Leadership,William E. Russell Elementary School,62.5
Effective Leadership,School has Effective Leadership,Thomas J. Kenny Elementary School,37.5
Effective Leadership,School has Effective Leadership,William Blackstone Elementary School,37.5
Effective Leadership,School has Effective Leadership,William Monroe Trotter Elementary School,87.5
Valuable Curriculum,Rigorous Curriculum,William E. Carter School,-
Valuable Curriculum,Rigorous Curriculum,Thomas J. Kenny Elementary School,50
Valuable Curriculum,Rigorous Curriculum,UP Academy Charter School of Dorchester,50
Valuable Curriculum,Rigorous Curriculum,William Ellery Channing Elementary School,62.5
Valuable Curriculum,Rigorous Curriculum,William Blackstone Elementary School,62.5
Valuable Curriculum,Rigorous Curriculum,Warren-Prescott K-8 School,62.5
Valuable Curriculum,Rigorous Curriculum,William E. Russell Elementary School,62.5
Valuable Curriculum,Rigorous Curriculum,UP Academy Holland,62.5
Valuable Curriculum,Rigorous Curriculum,Young Achievers School of Science & Math,37.5
Valuable Curriculum,Rigorous Curriculum,William Monroe Trotter Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Wolfgang Amadeus Mozart Elementary School,75
Valuable Curriculum,College and Career Readiness,William E. Carter School,-
