Outcome,Metric,School Name,Score
Sense of Inclusion,Staff Diversity,Greater Egleston Community High School,-
Sense of Inclusion,Staff Diversity,Harriet A. Baldwin Early Learning Pilot Academy,-
Sense of Inclusion,Staff Diversity,Dr. Catherine Ellison - Rosa Parks Early Education School,-
Sense of Inclusion,Staff Diversity,East Boston Early Education Center,-
Sense of Inclusion,Staff Diversity,Donald McKay K-8 School,50
Sense of Inclusion,Staff Diversity,East Boston High School,50
Sense of Inclusion,Staff Diversity,Edward M. Kennedy Academy for Health Careers,100
Sense of Inclusion,Staff Diversity,David A. Ellis Elementary School,100
Sense of Inclusion,Staff Diversity,Excel High School,100
Sense of Inclusion,Staff Diversity,Fenway High School,100
Sense of Inclusion,Staff Diversity,F. Lyman Winship Elementary School,62.5
Sense of Inclusion,Staff Diversity,Dennis C. Haley Elementary School,62.5
Sense of Inclusion,Staff Diversity,"Dearborn Science, Technology, Engineering and Mathematics Academy",75
Sense of Inclusion,Staff Diversity,Dudley Street Neighborhood Charter School,75
Sense of Inclusion,Staff Diversity,Franklin D. Roosevelt Elementary School,87.5
Sense of Inclusion,Staff Diversity,Dr. William W. Henderson K-12 Inclusion School,87.5
Sense of Inclusion,Staff Diversity,Ellis Mendell Elementary School,87.5
Sense of Inclusion,Staff Diversity,Gardner Pilot Academy,87.5
Sense of Inclusion,Staff Diversity,George H. Conley Elementary School,87.5
Sense of Inclusion,Staff Diversity,Edward Everett Elementary School,56.3
Engaged Students,Chronic Absenteeism,"Dearborn Science, Technology, Engineering and Mathematics Academy",18.2
Engaged Students,Chronic Absenteeism,East Boston High School,33.8
Engaged Students,Chronic Absenteeism,Excel High School,-
Engaged Students,Chronic Absenteeism,George H. Conley Elementary School,-
Engaged Students,Chronic Absenteeism,Ellis Mendell Elementary School,-
Engaged Students,Chronic Absenteeism,Gardner Pilot Academy,-
Engaged Students,Chronic Absenteeism,Dr. William W. Henderson K-12 Inclusion School,-
Engaged Students,Chronic Absenteeism,Greater Egleston Community High School,-
Engaged Students,Chronic Absenteeism,Dr. Catherine Ellison - Rosa Parks Early Education School,-
Engaged Students,Chronic Absenteeism,East Boston Early Education Center,-
Engaged Students,Chronic Absenteeism,Harriet A. Baldwin Early Learning Pilot Academy,-
Engaged Students,Chronic Absenteeism,Fenway High School,100
Engaged Students,Chronic Absenteeism,Donald McKay K-8 School,100
Engaged Students,Chronic Absenteeism,Dudley Street Neighborhood Charter School,100
Engaged Students,Chronic Absenteeism,Edward Everett Elementary School,100
Engaged Students,Chronic Absenteeism,Franklin D. Roosevelt Elementary School,100
Engaged Students,Chronic Absenteeism,David A. Ellis Elementary School,100
