Outcome,Metric,School Name,Score
Quality Teachers,Teacher Effectiveness,Rev. Dr. Michael E. Haynes Early Education Center,-
Quality Teachers,Teacher Effectiveness,Rafael Hernandez Elementary School,50
Quality Teachers,Teacher Effectiveness,Orchard Gardens K-8 School,50
Quality Teachers,Teacher Effectiveness,Richard J. Murphy K-8 School,50
Quality Teachers,Teacher Effectiveness,Phineas Bates Elementary School,62.5
Quality Teachers,Teacher Effectiveness,Ruth Batson Academy,62.5
Quality Teachers,Teacher Effectiveness,The English High School,75
Quality Teachers,Teacher Effectiveness,Samuel Adams Elementary School,75
Quality Teachers,Teacher Effectiveness,Philbrick-Sumner Elementary School,75
Quality Teachers,Teacher Effectiveness,TechBoston Academy,75
Quality Teachers,Teacher Effectiveness,Samuel W. Mason Elementary School,75
Quality Teachers,Teacher Effectiveness,Thomas A. Edison Elementary School,75
Quality Teachers,Teacher Effectiveness,Patrick J. Kennedy Elementary School,75
Quality Teachers,Teacher Effectiveness,Patrick F. Lyndon K-8 Pilot School,75
Quality Teachers,Teacher Effectiveness,Oliver W. Holmes Elementary School,75
Quality Teachers,Teacher Effectiveness,Oliver Hazard Perry Elementary School,75
Quality Teachers,Teacher Effectiveness,Roger Clap Innovation School,75
Quality Teachers,Teacher Effectiveness,Paul A. Dever Elementary School,75
Quality Teachers,Teacher Effectiveness,Sarah Greenwood K-8 School,75
Quality Teachers,Teacher Effectiveness,Shaw-Taylor Elementary School,75
Effective Leadership,School has Effective Leadership,Rev. Dr. Michael E. Haynes Early Education Center,-
Effective Leadership,School has Effective Leadership,Shaw-Taylor Elementary School,50
Effective Leadership,School has Effective Leadership,Patrick F. Lyndon K-8 Pilot School,50
Effective Leadership,School has Effective Leadership,Oliver Hazard Perry Elementary School,100
Effective Leadership,School has Effective Leadership,Orchard Gardens K-8 School,62.5
Effective Leadership,School has Effective Leadership,Philbrick-Sumner Elementary School,62.5
Effective Leadership,School has Effective Leadership,Richard J. Murphy K-8 School,62.5
Effective Leadership,School has Effective Leadership,Phineas Bates Elementary School,62.5
Effective Leadership,School has Effective Leadership,Ruth Batson Academy,62.5
Effective Leadership,School has Effective Leadership,TechBoston Academy,62.5
Effective Leadership,School has Effective Leadership,Thomas A. Edison Elementary School,62.5
Effective Leadership,School has Effective Leadership,Paul A. Dever Elementary School,37.5
Effective Leadership,School has Effective Leadership,Samuel W. Mason Elementary School,75
Effective Leadership,School has Effective Leadership,Oliver W. Holmes Elementary School,75
Effective Leadership,School has Effective Leadership,Roger Clap Innovation School,75
Effective Leadership,School has Effective Leadership,Rafael Hernandez Elementary School,75
Effective Leadership,School has Effective Leadership,Patrick J. Kennedy Elementary School,87.5
Effective Leadership,School has Effective Leadership,Samuel Adams Elementary School,87.5
Effective Leadership,School has Effective Leadership,The English High School,87.5
Effective Leadership,School has Effective Leadership,Sarah Greenwood K-8 School,87.5
Valuable Curriculum,Rigorous Curriculum,Rev. Dr. Michael E. Haynes Early Education Center,-
Valuable Curriculum,Rigorous Curriculum,Richard J. Murphy K-8 School,50
Valuable Curriculum,Rigorous Curriculum,Rafael Hernandez Elementary School,50
Valuable Curriculum,Rigorous Curriculum,Ruth Batson Academy,62.5
Valuable Curriculum,Rigorous Curriculum,Orchard Gardens K-8 School,62.5
Valuable Curriculum,Rigorous Curriculum,Thomas A. Edison Elementary School,62.5
Valuable Curriculum,Rigorous Curriculum,Sarah Greenwood K-8 School,62.5
Valuable Curriculum,Rigorous Curriculum,Patrick J. Kennedy Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Oliver W. Holmes Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Patrick F. Lyndon K-8 Pilot School,75
Valuable Curriculum,Rigorous Curriculum,Samuel Adams Elementary School,75
Valuable Curriculum,Rigorous Curriculum,TechBoston Academy,75
Valuable Curriculum,Rigorous Curriculum,Samuel W. Mason Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Oliver Hazard Perry Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Philbrick-Sumner Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Phineas Bates Elementary School,75
Valuable Curriculum,Rigorous Curriculum,The English High School,75
Valuable Curriculum,Rigorous Curriculum,Roger Clap Innovation School,75
Valuable Curriculum,Rigorous Curriculum,Paul A. Dever Elementary School,75
Valuable Curriculum,Rigorous Curriculum,Shaw-Taylor Elementary School,75
Valuable Curriculum,College and Career Readiness,Ruth Batson Academy,50
Valuable Curriculum,College and Career Readiness,The English High School,50
Valuable Curriculum,College and Career Readiness,TechBoston Academy,50
