Outcome,Metric,School Name,Score
Sense of Inclusion,Staff Diversity,William E. Russell Elementary School,43.8
Sense of Inclusion,Staff Diversity,Warren-Prescott K-8 School,43.8
Sense of Inclusion,Staff Diversity,Young Achievers School of Science & Math,93.8
Sense of Inclusion,Staff Diversity,William E. Carter School,-
Sense of Inclusion,Staff Diversity,William Blackstone Elementary School,50
Sense of Inclusion,Staff Diversity,Thomas J. Kenny Elementary School,100
Sense of Inclusion,Staff Diversity,Wolfgang Amadeus Mozart Elementary School,100
Sense of Inclusion,Staff Diversity,UP Academy Charter School of Dorchester,62.5
Sense of Inclusion,Staff Diversity,UP Academy Holland,75
Sense of Inclusion,Staff Diversity,William Ellery Channing Elementary School,68.8
Sense of Inclusion,Staff Diversity,William Monroe Trotter Elementary School,56.3
Engaged Students,Chronic Absenteeism,William E. Carter School,-
Engaged Students,Chronic Absenteeism,Wolfgang Amadeus Mozart Elementary School,-
Engaged Students,Chronic Absenteeism,William Monroe Trotter Elementary School,50
Engaged Students,Chronic Absenteeism,William Ellery Channing Elementary School,100
Engaged Students,Chronic Absenteeism,Thomas J. Kenny Elementary School,100
Engaged Students,Chronic Absenteeism,UP Academy Holland,100
Engaged Students,Chronic Absenteeism,William E. Russell Elementary School,100
Engaged Students,Chronic Absenteeism,Young Achievers School of Science & Math,100
Engaged Students,Chronic Absenteeism,UP Academy Charter School of Dorchester,100
Engaged Students,Chronic Absenteeism,Warren-Prescott K-8 School,100
Engaged Students,Chronic Absenteeism,William Blackstone Elementary School,75
Welcoming & Encourages Social Growth,Welcomed and Involved Families,UP Academy Holland,12.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,William E. Carter School,-
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Young Achievers School of Science & Math,62.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,William Blackstone Elementary School,62.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,UP Academy Charter School of Dorchester,37.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,William Ellery Channing Elementary School,75
Welcoming & Encourages Social Growth,Welcomed and Involved Families,William Monroe Trotter Elementary School,87.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Warren-Prescott K-8 School,87.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,William E. Russell Elementary School,87.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Wolfgang Amadeus Mozart Elementary School,87.5
Welcoming & Encourages Social Growth,Welcomed and Involved Families,Thomas J. Kenny Elementary School,81.3
Sense of Inclusion,Inclusive of Families and Community,UP Academy Holland,18.8
Sense of Inclusion,Inclusive of Families and Community,William Monroe Trotter Elementary School,79.2
Sense of Inclusion,Inclusive of Families and Community,Warren-Prescott K-8 School,83.3
Sense of Inclusion,Inclusive of Families and Community,William E. Carter School,-
Sense of Inclusion,Inclusive of Families and Community,UP Academy Charter School of Dorchester,50
Sense of Inclusion,Inclusive of Families and Community,Young Achievers School of Science & Math,50
Sense of Inclusion,Inclusive of Families and Community,William Blackstone Elementary School,62.5
Sense of Inclusion,Inclusive of Families and Community,Thomas J. Kenny Elementary School,75
Sense of Inclusion,Inclusive of Families and Community,Wolfgang Amadeus Mozart Elementary School,87.5
Sense of Inclusion,Inclusive of Families and Community,William E. Russell Elementary School,87.5
Sense of Inclusion,Inclusive of Families and Community,William Ellery Channing Elementary School,58.3
Culture of High Achievement,Challenging Academic Environment,William E. Carter School,-
Culture of High Achievement,Challenging Academic Environment,Thomas J. Kenny Elementary School,50
Culture of High Achievement,Challenging Academic Environment,UP Academy Charter School of Dorchester,50
Culture of High Achievement,Challenging Academic Environment,Warren-Prescott K-8 School,62.5
Culture of High Achievement,Challenging Academic Environment,William Ellery Channing Elementary School,62.5
Culture of High Achievement,Challenging Academic Environment,William E. Russell Elementary School,62.5
Culture of High Achievement,Challenging Academic Environment,William Blackstone Elementary School,62.5
Culture of High Achievement,Challenging Academic Environment,UP Academy Holland,62.5
Culture of High Achievement,Challenging Academic Environment,Young Achievers School of Science & Math,37.5
Culture of High Achievement,Challenging Academic Environment,William Monroe Trotter Elementary School,75
Culture of High Achievement,Challenging Academic Environment,Wolfgang Amadeus Mozart Elementary School,75
Safe & Conducive to Learning,Safety,UP Academy Charter School of Dorchester,43.8
Safe & Conducive to Learning,Safety,William Blackstone Elementary School,43.8
Safe & Conducive to Learning,Safety,Young Achievers School of Science & Math,31.3
Safe & Conducive to Learning,Safety,UP Academy Holland,31.3
Safe & Conducive to Learning,Safety,William E. Carter School,-
Safe & Conducive to Learning,Safety,Thomas J. Kenny Elementary School,50
Safe & Conducive to Learning,Safety,William E. Russell Elementary School,75
Safe & Conducive to Learning,Safety,Wolfgang Amadeus Mozart Elementary School,68.8
Safe & Conducive to Learning,Safety,William Monroe Trotter Elementary School,68.8
Safe & Conducive to Learning,Safety,William Ellery Channing Elementary School,68.8
Safe & Conducive to Learning,Safety,Warren-Prescott K-8 School,81.3
Engaged Students,Student Engagement and Enthusiasm,William E. Carter School,-
Engaged Students,Student Engagement and Enthusiasm,UP Academy Charter School of Dorchester,50
Engaged Students,Student Engagement and Enthusiasm,UP Academy Holland,62.5
Engaged Students,Student Engagement and Enthusiasm,Young Achievers School of Science & Math,37.5
Engaged Students,Student Engagement and Enthusiasm,William Monroe Trotter Elementary School,75
Engaged Students,Student Engagement and Enthusiasm,Thomas J. Kenny Elementary School,75
Engaged Students,Student Engagement and Enthusiasm,Wolfgang Amadeus Mozart Elementary School,75
Engaged Students,Student Engagement and Enthusiasm,Warren-Prescott K-8 School,75
Engaged Students,Student Engagement and Enthusiasm,William E. Russell Elementary School,75
Engaged Students,Student Engagement and Enthusiasm,William Blackstone Elementary School,75
Engaged Students,Student Engagement and Enthusiasm,William Ellery Channing Elementary School,75
Welcoming & Encourages Social Growth,Family Engagement,William E. Carter School,-
Welcoming & Encourages Social Growth,Family Engagement,William E. Russell Elementary School,100
Welcoming & Encourages Social Growth,Family Engagement,Thomas J. Kenny Elementary School,100
Welcoming & Encourages Social Growth,Family Engagement,Warren-Prescott K-8 School,100
Welcoming & Encourages Social Growth,Family Engagement,William Monroe Trotter Elementary School,62.5
Welcoming & Encourages Social Growth,Family Engagement,UP Academy Charter School of Dorchester,37.5
Welcoming & Encourages Social Growth,Family Engagement,UP Academy Holland,37.5
Welcoming & Encourages Social Growth,Family Engagement,Young Achievers School of Science & Math,75
Welcoming & Encourages Social Growth,Family Engagement,William Blackstone Elementary School,87.5
Welcoming & Encourages Social Growth,Family Engagement,William Ellery Channing Elementary School,87.5
Welcoming & Encourages Social Growth,Family Engagement,Wolfgang Amadeus Mozart Elementary School,87.5
Safe & Conducive to Learning,Suspensions,UP Academy Charter School of Dorchester,12.5
Safe & Conducive to Learning,Suspensions,Young Achievers School of Science & Math,-
Safe & Conducive to Learning,Suspensions,William E. Carter School,-
Safe & Conducive to Learning,Suspensions,Warren-Prescott K-8 School,62.5
